"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2024-03-20T17:26:55.037+08:00[Asia/Shanghai]","0.0","251.3"
"Payments","Application of prepayment full","ERROR","2024-03-20T17:31:07.05+08:00[Asia/Shanghai]","0.0","103.37"
"Payments","Manual payment with negative amount","ERROR","2024-03-20T17:32:51.127+08:00[Asia/Shanghai]","0.0","223.3"
"Payments","Manual payment with zero payments","ERROR","2024-03-20T17:36:35.159+08:00[Asia/Shanghai]","0.0","406.57"
"Payments","Application of prepayment partial","ERROR","2024-03-20T17:47:14.935+08:00[Asia/Shanghai]","0.0","77.87"
"Pre registration","Pre logging multi docs","ERROR","2024-03-20T17:51:12.964+08:00[Asia/Shanghai]","0.0","138.66"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-03-20T17:59:42.816+08:00[Asia/Shanghai]","0.0","44.31"
"Redistribution","Voucher match with tolerance","ERROR","2024-03-20T18:02:09.149+08:00[Asia/Shanghai]","0.0","109.73"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-03-20T18:04:00.568+08:00[Asia/Shanghai]","0.0","216.2"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-03-20T18:07:37.475+08:00[Asia/Shanghai]","0.0","246.04"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-03-20T18:11:44.228+08:00[Asia/Shanghai]","0.0","162.14"
"Review AP entries","Create voucher entry and edit","ERROR","2024-03-20T18:16:43.651+08:00[Asia/Shanghai]","0.0","149.76"
"Review AP entries","Edit AP entries","ERROR","2024-03-20T18:19:14.131+08:00[Asia/Shanghai]","0.0","147.54"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-03-20T18:24:38.65+08:00[Asia/Shanghai]","0.0","110.05"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-03-20T18:29:41.531+08:00[Asia/Shanghai]","0.0","206.2"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-03-20T18:40:03.122+08:00[Asia/Shanghai]","0.0","157.62"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-03-20T18:58:28.776+08:00[Asia/Shanghai]","0.0","54.24"
"Voucher entries","Search and post PV","ERROR","2024-03-20T19:05:15.38+08:00[Asia/Shanghai]","0.0","60.9"
"Voucher entries","Voucher match with tax","ERROR","2024-03-20T19:09:00.887+08:00[Asia/Shanghai]","0.0","57.66"
"Voucher entries","Partial voucher match","ERROR","2024-03-20T19:09:59.318+08:00[Asia/Shanghai]","0.0","51.99"
"Voucher entries","Voucher match with retention","ERROR","2024-03-20T19:10:52.031+08:00[Asia/Shanghai]","0.0","57.73"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-03-20T19:11:50.487+08:00[Asia/Shanghai]","0.0","109.63"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-03-20T19:13:40.822+08:00[Asia/Shanghai]","0.0","56.85"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-03-20T19:14:38.387+08:00[Asia/Shanghai]","0.0","56.45"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-03-20T19:20:36.18+08:00[Asia/Shanghai]","0.0","66.24"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-03-20T19:22:56.712+08:00[Asia/Shanghai]","0.0","239.5"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-03-20T19:26:56.909+08:00[Asia/Shanghai]","0.0","58.91"
"Voucher entries","Partial voucher match with retention","ERROR","2024-03-20T19:27:56.523+08:00[Asia/Shanghai]","0.0","56.97"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-03-20T19:28:54.224+08:00[Asia/Shanghai]","0.0","53.49"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-03-20T19:29:48.42+08:00[Asia/Shanghai]","0.0","240.94"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-03-20T19:33:50.13+08:00[Asia/Shanghai]","0.0","46.07"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-03-20T19:34:36.904+08:00[Asia/Shanghai]","0.0","41.24"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-03-20T19:35:18.869+08:00[Asia/Shanghai]","0.0","50.67"
"Voucher entries","Simple voucher match","ERROR","2024-03-20T19:36:10.267+08:00[Asia/Shanghai]","0.0","55.82"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-03-20T19:39:23.166+08:00[Asia/Shanghai]","0.0","46.71"
"Voucher entries","Voucher matching","ERROR","2024-03-20T19:42:43.013+08:00[Asia/Shanghai]","0.0","101.61"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-03-20T19:52:20.094+08:00[Asia/Shanghai]","0.0","54.18"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-03-20T19:55:36.849+08:00[Asia/Shanghai]","0.0","56.35"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-03-20T20:02:49.362+08:00[Asia/Shanghai]","0.0","181.41"
