"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-03-20T18:56:08.281+08:00[Asia/Shanghai]","0.0","139.73"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-03-20T18:59:23.723+08:00[Asia/Shanghai]","0.0","169.45"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-03-20T19:02:13.986+08:00[Asia/Shanghai]","0.0","180.66"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-03-20T19:06:16.992+08:00[Asia/Shanghai]","0.0","163.18"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-03-20T19:15:35.548+08:00[Asia/Shanghai]","0.0","299.9"
"Voucher entries","Simple prepayment","SUCCESS","2024-03-20T19:21:43.133+08:00[Asia/Shanghai]","0.0","72.84"
"Voucher entries","Release retention partial","SUCCESS","2024-03-20T19:37:06.814+08:00[Asia/Shanghai]","0.0","135.64"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-03-20T19:40:10.588+08:00[Asia/Shanghai]","0.0","151.68"
"Voucher entries","Creating voucher entry","SUCCESS","2024-03-20T19:47:15.677+08:00[Asia/Shanghai]","0.0","118.92"
"Voucher entries","Release retention adding a line","SUCCESS","2024-03-20T19:49:15.315+08:00[Asia/Shanghai]","0.0","184.06"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-03-20T19:53:15.023+08:00[Asia/Shanghai]","0.0","141.09"
