"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","SUCCESS","2024-03-20T17:19:25.471+08:00[Asia/Shanghai]","0.0","75.0"
"Manage bank account","Search a bank account","SUCCESS","2024-03-20T17:21:25.063+08:00[Asia/Shanghai]","0.0","37.64"
"Manage bank account","Activate a bank account","SUCCESS","2024-03-20T17:22:03.462+08:00[Asia/Shanghai]","0.0","45.14"
"Payments","Manual payment partial","SUCCESS","2024-03-20T17:23:32.917+08:00[Asia/Shanghai]","0.0","201.34"
"Payments","Manual payment full","SUCCESS","2024-03-20T17:43:22.434+08:00[Asia/Shanghai]","0.0","231.73"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-03-20T17:48:40.661+08:00[Asia/Shanghai]","0.0","151.49"
"Pre registration","Pre logging","SUCCESS","2024-03-20T17:53:32.434+08:00[Asia/Shanghai]","0.0","98.09"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-03-20T17:55:11.297+08:00[Asia/Shanghai]","0.0","103.8"
"Pre registration","Pre logging simple","SUCCESS","2024-03-20T17:56:55.857+08:00[Asia/Shanghai]","0.0","62.11"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-03-20T17:57:58.701+08:00[Asia/Shanghai]","0.0","101.42"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-03-20T18:00:27.851+08:00[Asia/Shanghai]","0.0","100.56"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-03-20T18:14:27.071+08:00[Asia/Shanghai]","0.0","135.83"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-03-20T18:21:42.379+08:00[Asia/Shanghai]","0.0","137.81"
"Review AP entries","Search payment","SUCCESS","2024-03-20T18:24:00.936+08:00[Asia/Shanghai]","0.0","36.99"
"Review AP entries","Print payment form","SUCCESS","2024-03-20T18:28:33.337+08:00[Asia/Shanghai]","0.0","67.48"
"Review AP entries","Payment information","SUCCESS","2024-03-20T18:33:08.448+08:00[Asia/Shanghai]","0.0","68.52"
"Review AP entries","Delete voucher AP entry","SUCCESS","2024-03-20T18:34:17.68+08:00[Asia/Shanghai]","0.0","135.55"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2024-03-20T18:36:33.98+08:00[Asia/Shanghai]","0.0","208.44"
"Supplier creation","View a supplier","SUCCESS","2024-03-20T18:42:49.711+08:00[Asia/Shanghai]","0.0","58.17"
"Supplier creation","Search a supplier","SUCCESS","2024-03-20T18:45:37.989+08:00[Asia/Shanghai]","0.0","47.63"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2024-03-20T18:46:26.314+08:00[Asia/Shanghai]","0.0","57.99"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2024-03-20T18:47:25.054+08:00[Asia/Shanghai]","0.0","79.42"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2024-03-20T18:48:46.133+08:00[Asia/Shanghai]","0.0","96.79"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-03-20T18:56:08.281+08:00[Asia/Shanghai]","0.0","139.73"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-03-20T18:59:23.723+08:00[Asia/Shanghai]","0.0","169.45"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-03-20T19:02:13.986+08:00[Asia/Shanghai]","0.0","180.66"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-03-20T19:06:16.992+08:00[Asia/Shanghai]","0.0","163.18"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-03-20T19:15:35.548+08:00[Asia/Shanghai]","0.0","299.9"
"Voucher entries","Simple prepayment","SUCCESS","2024-03-20T19:21:43.133+08:00[Asia/Shanghai]","0.0","72.84"
"Voucher entries","Release retention partial","SUCCESS","2024-03-20T19:37:06.814+08:00[Asia/Shanghai]","0.0","135.64"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-03-20T19:40:10.588+08:00[Asia/Shanghai]","0.0","151.68"
"Voucher entries","Creating voucher entry","SUCCESS","2024-03-20T19:47:15.677+08:00[Asia/Shanghai]","0.0","118.92"
"Voucher entries","Release retention adding a line","SUCCESS","2024-03-20T19:49:15.315+08:00[Asia/Shanghai]","0.0","184.06"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-03-20T19:53:15.023+08:00[Asia/Shanghai]","0.0","141.09"
