"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Edit a bank account","FAILURE","2024-03-25T08:32:51.633+08:00[Asia/Shanghai]","0.0","38.42"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-03-25T08:34:48.513+08:00[Asia/Shanghai]","0.0","34.08"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-03-25T09:32:57.744+08:00[Asia/Shanghai]","0.0","117.3"
"Supplier creation","Edit a supplier","FAILURE","2024-03-25T09:48:54.651+08:00[Asia/Shanghai]","0.0","60.58"
"Supplier creation","Payment terms update","FAILURE","2024-03-25T09:49:55.911+08:00[Asia/Shanghai]","0.0","43.5"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-03-25T09:55:04.577+08:00[Asia/Shanghai]","0.0","48.4"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-03-25T09:55:53.684+08:00[Asia/Shanghai]","0.0","48.95"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-03-25T09:56:43.34+08:00[Asia/Shanghai]","0.0","47.71"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-03-25T09:57:31.736+08:00[Asia/Shanghai]","0.0","47.51"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2024-03-25T09:58:19.932+08:00[Asia/Shanghai]","0.0","39.27"
"Voucher entries","Release retention full","FAILURE","2024-03-25T09:59:00.322+08:00[Asia/Shanghai]","0.0","46.42"
"Voucher entries","Voucher entry export CSV file","FAILURE","2024-03-25T10:44:24.745+08:00[Asia/Shanghai]","0.0","146.3"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-03-25T11:05:25.707+08:00[Asia/Shanghai]","0.0","50.87"
