"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-03-27T15:34:17.016+08:00[Asia/Shanghai]","0.0","33.86"
"Manage bank account","Add a bank account","SUCCESS","2024-03-27T15:34:56.292+08:00[Asia/Shanghai]","0.0","82.21"
"Manage bank account","Search a bank account","SUCCESS","2024-03-27T15:36:55.688+08:00[Asia/Shanghai]","0.0","28.6"
"Manage bank account","Activate a bank account","SUCCESS","2024-03-27T15:37:25.018+08:00[Asia/Shanghai]","0.0","42.78"
"Payments","Manual payment partial","SUCCESS","2024-03-27T15:38:44.927+08:00[Asia/Shanghai]","0.0","192.79"
"Payments","Manual payment full","SUCCESS","2024-03-27T15:57:33.683+08:00[Asia/Shanghai]","0.0","202.07"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-03-27T16:02:05.926+08:00[Asia/Shanghai]","0.0","137.94"
"Pre registration","Pre logging","SUCCESS","2024-03-27T16:06:28.184+08:00[Asia/Shanghai]","0.0","91.54"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-03-27T16:08:00.467+08:00[Asia/Shanghai]","0.0","100.4"
"Pre registration","Pre logging simple","SUCCESS","2024-03-27T16:09:41.61+08:00[Asia/Shanghai]","0.0","45.6"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-03-27T16:10:27.908+08:00[Asia/Shanghai]","0.0","89.0"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-03-27T16:12:32.838+08:00[Asia/Shanghai]","0.0","98.08"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-03-27T16:25:32.372+08:00[Asia/Shanghai]","0.0","109.25"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-03-27T16:32:00.266+08:00[Asia/Shanghai]","0.0","121.1"
"Review AP entries","Search payment","SUCCESS","2024-03-27T16:34:02.069+08:00[Asia/Shanghai]","0.0","28.01"
"Review AP entries","Print payment form","SUCCESS","2024-03-27T16:41:33.976+08:00[Asia/Shanghai]","0.0","61.6"
