"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2024-04-02T09:33:20.918+08:00[Asia/Shanghai]","0.0","247.18"
"Payments","Application of prepayment full","ERROR","2024-04-02T09:37:28.907+08:00[Asia/Shanghai]","0.0","98.37"
"Payments","Manual payment with negative amount","ERROR","2024-04-02T09:39:08.015+08:00[Asia/Shanghai]","0.0","219.53"
"Payments","Manual payment with zero payments","ERROR","2024-04-02T09:42:48.35+08:00[Asia/Shanghai]","0.0","405.95"
"Payments","Application of prepayment partial","ERROR","2024-04-02T09:53:17.584+08:00[Asia/Shanghai]","0.0","75.24"
"Pre registration","Pre logging multi docs","ERROR","2024-04-02T09:57:09.991+08:00[Asia/Shanghai]","0.0","137.29"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-04-02T10:05:26.902+08:00[Asia/Shanghai]","0.0","45.63"
"Redistribution","Voucher match with tolerance","ERROR","2024-04-02T10:07:56.179+08:00[Asia/Shanghai]","0.0","103.77"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-04-02T10:09:42.074+08:00[Asia/Shanghai]","0.0","223.7"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-04-02T10:13:26.571+08:00[Asia/Shanghai]","0.0","239.94"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-04-02T10:17:27.313+08:00[Asia/Shanghai]","0.0","146.08"
"Review AP entries","Create voucher entry and edit","ERROR","2024-04-02T10:22:30.073+08:00[Asia/Shanghai]","0.0","144.29"
"Review AP entries","Edit AP entries","ERROR","2024-04-02T10:24:55.164+08:00[Asia/Shanghai]","0.0","137.91"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-04-02T10:30:00.818+08:00[Asia/Shanghai]","0.0","104.89"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-04-02T10:34:48.778+08:00[Asia/Shanghai]","0.0","208.1"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-04-02T10:45:41.268+08:00[Asia/Shanghai]","0.0","141.15"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-04-02T11:03:08.083+08:00[Asia/Shanghai]","0.0","51.98"
"Voucher entries","Search and post PV","ERROR","2024-04-02T11:10:07.974+08:00[Asia/Shanghai]","0.0","56.95"
"Voucher entries","Voucher match with tax","ERROR","2024-04-02T11:14:01.286+08:00[Asia/Shanghai]","0.0","48.8"
"Voucher entries","Partial voucher match","ERROR","2024-04-02T11:14:50.843+08:00[Asia/Shanghai]","0.0","51.34"
"Voucher entries","Voucher match with retention","ERROR","2024-04-02T11:15:42.93+08:00[Asia/Shanghai]","0.0","49.78"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-04-02T11:16:33.447+08:00[Asia/Shanghai]","0.0","105.63"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-04-02T11:18:19.824+08:00[Asia/Shanghai]","0.0","49.83"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-04-02T11:19:10.391+08:00[Asia/Shanghai]","0.0","57.5"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-04-02T11:25:02.124+08:00[Asia/Shanghai]","0.0","52.7"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-04-02T11:27:09.198+08:00[Asia/Shanghai]","0.0","248.29"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-04-02T11:31:18.232+08:00[Asia/Shanghai]","0.0","53.67"
"Voucher entries","Partial voucher match with retention","ERROR","2024-04-02T11:32:12.639+08:00[Asia/Shanghai]","0.0","45.62"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-04-02T11:32:59.008+08:00[Asia/Shanghai]","0.0","49.65"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-04-02T11:33:49.393+08:00[Asia/Shanghai]","0.0","234.7"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-04-02T11:37:44.922+08:00[Asia/Shanghai]","0.0","50.84"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-04-02T11:38:36.494+08:00[Asia/Shanghai]","0.0","50.79"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-04-02T11:39:28.068+08:00[Asia/Shanghai]","0.0","49.94"
"Voucher entries","Simple voucher match","ERROR","2024-04-02T11:40:18.772+08:00[Asia/Shanghai]","0.0","50.26"
"Voucher entries","Release retention partial","ERROR","2024-04-02T11:41:09.779+08:00[Asia/Shanghai]","0.0","121.0"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-04-02T11:43:11.56+08:00[Asia/Shanghai]","0.0","52.06"
"Voucher entries","Voucher matching","ERROR","2024-04-02T11:46:30.074+08:00[Asia/Shanghai]","0.0","50.13"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-04-02T11:55:17.232+08:00[Asia/Shanghai]","0.0","52.68"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-04-02T11:58:25.277+08:00[Asia/Shanghai]","0.0","49.75"
