"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2024-05-29T12:43:31.795+08:00[Asia/Shanghai]","0.0","238.15"
"Payments","Application of prepayment full","ERROR","2024-05-29T12:47:30.688+08:00[Asia/Shanghai]","0.0","106.02"
"Payments","Manual payment with negative amount","ERROR","2024-05-29T12:49:17.431+08:00[Asia/Shanghai]","0.0","222.6"
"Payments","Manual payment with zero payments","ERROR","2024-05-29T12:53:00.745+08:00[Asia/Shanghai]","0.0","408.54"
"Payments","Application of prepayment partial","ERROR","2024-05-29T13:03:27.345+08:00[Asia/Shanghai]","0.0","85.99"
"Pre registration","Pre logging multi docs","ERROR","2024-05-29T13:07:26.891+08:00[Asia/Shanghai]","0.0","131.43"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-05-29T13:15:38.569+08:00[Asia/Shanghai]","0.0","43.51"
"Redistribution","Voucher match with tolerance","ERROR","2024-05-29T13:18:06.007+08:00[Asia/Shanghai]","0.0","103.51"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-05-29T13:19:50.777+08:00[Asia/Shanghai]","0.0","208.02"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-05-29T13:23:19.509+08:00[Asia/Shanghai]","0.0","238.16"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-05-29T13:27:18.371+08:00[Asia/Shanghai]","0.0","139.15"
"Review AP entries","Create voucher entry and edit","ERROR","2024-05-29T13:31:35.666+08:00[Asia/Shanghai]","0.0","140.92"
"Review AP entries","Edit AP entries","ERROR","2024-05-29T13:33:57.298+08:00[Asia/Shanghai]","0.0","137.47"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-05-29T13:39:17.825+08:00[Asia/Shanghai]","0.0","101.41"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-05-29T13:44:10.653+08:00[Asia/Shanghai]","0.0","206.09"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-05-29T13:54:47.47+08:00[Asia/Shanghai]","0.0","141.82"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-05-29T14:11:45.295+08:00[Asia/Shanghai]","0.0","62.4"
"Voucher entries","Search and post PV","ERROR","2024-05-29T14:18:39.619+08:00[Asia/Shanghai]","0.0","58.04"
"Voucher entries","Voucher match with tax","ERROR","2024-05-29T14:22:21.829+08:00[Asia/Shanghai]","0.0","46.3"
"Voucher entries","Partial voucher match","ERROR","2024-05-29T14:23:08.825+08:00[Asia/Shanghai]","0.0","57.87"
"Voucher entries","Voucher match with retention","ERROR","2024-05-29T14:24:07.397+08:00[Asia/Shanghai]","0.0","57.4"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-05-29T14:25:05.492+08:00[Asia/Shanghai]","0.0","107.13"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-05-29T14:26:53.326+08:00[Asia/Shanghai]","0.0","57.32"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-05-29T14:27:51.328+08:00[Asia/Shanghai]","0.0","51.96"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-05-29T14:33:34.721+08:00[Asia/Shanghai]","0.0","54.81"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-05-29T14:35:41.212+08:00[Asia/Shanghai]","0.0","244.3"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-05-29T14:39:46.217+08:00[Asia/Shanghai]","0.0","58.31"
"Voucher entries","Partial voucher match with retention","ERROR","2024-05-29T14:40:45.199+08:00[Asia/Shanghai]","0.0","54.64"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-05-29T14:41:40.53+08:00[Asia/Shanghai]","0.0","54.67"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-05-29T14:42:35.888+08:00[Asia/Shanghai]","0.0","222.86"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-05-29T14:46:19.463+08:00[Asia/Shanghai]","0.0","52.32"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-05-29T14:47:12.475+08:00[Asia/Shanghai]","0.0","56.56"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-05-29T14:48:09.723+08:00[Asia/Shanghai]","0.0","53.31"
"Voucher entries","Simple voucher match","ERROR","2024-05-29T14:49:03.726+08:00[Asia/Shanghai]","0.0","50.77"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-05-29T14:52:36.051+08:00[Asia/Shanghai]","0.0","51.37"
"Voucher entries","Voucher matching","ERROR","2024-05-29T14:55:55.161+08:00[Asia/Shanghai]","0.0","56.16"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-05-29T15:04:17.817+08:00[Asia/Shanghai]","0.0","52.77"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-05-29T15:07:21.432+08:00[Asia/Shanghai]","0.0","44.32"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-05-29T15:13:54.497+08:00[Asia/Shanghai]","0.0","181.32"
