"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-05-25T11:34:40.236+08:00[Asia/Shanghai]","0.0","68.98"
"Manage bank account","Activate a bank account","SUCCESS","2023-05-25T11:43:02.777+08:00[Asia/Shanghai]","0.0","54.75"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-05-25T12:23:48.32+08:00[Asia/Shanghai]","0.0","150.96"
"Pre registration","Pre logging multi docs","SUCCESS","2023-05-25T12:26:19.933+08:00[Asia/Shanghai]","0.0","201.12"
"Pre registration","Pre logging","SUCCESS","2023-05-25T12:29:41.714+08:00[Asia/Shanghai]","0.0","97.15"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-05-25T12:31:19.527+08:00[Asia/Shanghai]","0.0","101.96"
"Pre registration","Pre logging simple","SUCCESS","2023-05-25T12:33:02.144+08:00[Asia/Shanghai]","0.0","60.74"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-05-25T12:34:03.542+08:00[Asia/Shanghai]","0.0","97.12"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-05-25T12:35:43.325+08:00[Asia/Shanghai]","0.0","102.56"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-05-25T12:37:26.525+08:00[Asia/Shanghai]","0.0","108.32"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-25T12:40:30.811+08:00[Asia/Shanghai]","0.0","292.56"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-25T12:49:33.243+08:00[Asia/Shanghai]","0.0","154.59"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-25T12:52:08.49+08:00[Asia/Shanghai]","0.0","119.7"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-25T12:57:05.177+08:00[Asia/Shanghai]","0.0","141.42"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-25T12:59:27.248+08:00[Asia/Shanghai]","0.0","138.35"
"Review AP entries","Search payment","SUCCESS","2023-05-25T13:01:46.268+08:00[Asia/Shanghai]","0.0","38.72"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-25T13:04:01.456+08:00[Asia/Shanghai]","0.0","236.12"
"Review AP entries","Print payment form","SUCCESS","2023-05-25T13:07:58.219+08:00[Asia/Shanghai]","0.0","75.17"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-25T13:09:14.032+08:00[Asia/Shanghai]","0.0","214.47"
"Review AP entries","Payment information","SUCCESS","2023-05-25T13:12:49.149+08:00[Asia/Shanghai]","0.0","84.27"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-05-25T13:14:14.083+08:00[Asia/Shanghai]","0.0","136.86"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-05-25T13:16:31.593+08:00[Asia/Shanghai]","0.0","212.74"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-05-25T13:20:04.994+08:00[Asia/Shanghai]","0.0","170.41"
"Supplier creation","View a supplier","SUCCESS","2023-05-25T13:23:04.587+08:00[Asia/Shanghai]","0.0","59.58"
"Supplier creation","Edit a supplier","SUCCESS","2023-05-25T13:24:05.251+08:00[Asia/Shanghai]","0.0","113.1"
"Supplier creation","Payment terms update","SUCCESS","2023-05-25T13:25:59.392+08:00[Asia/Shanghai]","0.0","111.0"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-05-25T13:29:18.671+08:00[Asia/Shanghai]","0.0","82.13"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-05-25T13:30:42.438+08:00[Asia/Shanghai]","0.0","100.73"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-05-25T13:37:42.907+08:00[Asia/Shanghai]","0.0","139.6"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-05-25T13:40:58.576+08:00[Asia/Shanghai]","0.0","190.07"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-05-25T13:50:05.38+08:00[Asia/Shanghai]","0.0","174.09"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-05-25T13:59:15.626+08:00[Asia/Shanghai]","0.0","316.27"
"Voucher entries","Simple prepayment","SUCCESS","2023-05-25T14:05:43.042+08:00[Asia/Shanghai]","0.0","80.52"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-05-25T14:15:13.074+08:00[Asia/Shanghai]","0.0","383.0"
"Voucher entries","Release retention partial","SUCCESS","2023-05-25T14:26:03.387+08:00[Asia/Shanghai]","0.0","139.48"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-05-25T14:29:17.29+08:00[Asia/Shanghai]","0.0","149.8"
"Voucher entries","Creating voucher entry","SUCCESS","2023-05-25T14:36:42.13+08:00[Asia/Shanghai]","0.0","119.99"
"Voucher entries","Release retention adding a line","SUCCESS","2023-05-25T14:38:42.783+08:00[Asia/Shanghai]","0.0","192.97"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-05-25T14:42:51.592+08:00[Asia/Shanghai]","0.0","131.13"
"Account recon","Refresh accounts","SUCCESS","2023-05-25T14:46:13.073+08:00[Asia/Shanghai]","0.0","87.77"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-05-25T14:47:41.649+08:00[Asia/Shanghai]","0.0","49.01"
"Batch posting","Batch posting voiding process","SUCCESS","2023-05-25T14:48:31.517+08:00[Asia/Shanghai]","0.0","125.12"
