"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-05-25T13:40:03.157+08:00[Asia/Shanghai]","0.0","54.76"
"Voucher entries","Checking line reference place holder","ERROR","2023-05-25T13:44:09.298+08:00[Asia/Shanghai]","0.0","299.45"
"Voucher entries","Search and post PV","ERROR","2023-05-25T13:49:09.411+08:00[Asia/Shanghai]","0.0","55.31"
"Voucher entries","Voucher match with tax","ERROR","2023-05-25T13:53:00.118+08:00[Asia/Shanghai]","0.0","52.26"
"Voucher entries","Partial voucher match","ERROR","2023-05-25T13:53:53.042+08:00[Asia/Shanghai]","0.0","55.28"
"Voucher entries","Voucher match with retention","ERROR","2023-05-25T13:54:48.97+08:00[Asia/Shanghai]","0.0","52.23"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-05-25T13:55:42.304+08:00[Asia/Shanghai]","0.0","103.07"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-05-25T13:57:26.015+08:00[Asia/Shanghai]","0.0","53.23"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-05-25T13:58:19.89+08:00[Asia/Shanghai]","0.0","55.1"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-05-25T14:04:32.525+08:00[Asia/Shanghai]","0.0","69.84"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-05-25T14:07:04.219+08:00[Asia/Shanghai]","0.0","273.46"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-05-25T14:11:38.329+08:00[Asia/Shanghai]","0.0","53.6"
"Voucher entries","Partial voucher match with retention","ERROR","2023-05-25T14:12:32.581+08:00[Asia/Shanghai]","0.0","97.74"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-05-25T14:14:10.981+08:00[Asia/Shanghai]","0.0","61.46"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-05-25T14:21:36.735+08:00[Asia/Shanghai]","0.0","58.36"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-05-25T14:22:35.759+08:00[Asia/Shanghai]","0.0","96.66"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-05-25T14:24:13.077+08:00[Asia/Shanghai]","0.0","54.77"
"Voucher entries","Simple voucher match","ERROR","2023-05-25T14:25:08.522+08:00[Asia/Shanghai]","0.0","54.21"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-05-25T14:28:23.535+08:00[Asia/Shanghai]","0.0","53.1"
"Voucher entries","Voucher matching","ERROR","2023-05-25T14:31:47.718+08:00[Asia/Shanghai]","0.0","53.25"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-05-25T14:32:41.623+08:00[Asia/Shanghai]","0.0","239.86"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-05-25T14:41:56.411+08:00[Asia/Shanghai]","0.0","54.53"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-05-25T14:45:03.408+08:00[Asia/Shanghai]","0.0","55.01"
