"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-05-25T13:37:42.907+08:00[Asia/Shanghai]","0.0","139.6"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-05-25T13:40:58.576+08:00[Asia/Shanghai]","0.0","190.07"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-05-25T13:50:05.38+08:00[Asia/Shanghai]","0.0","174.09"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-05-25T13:59:15.626+08:00[Asia/Shanghai]","0.0","316.27"
"Voucher entries","Simple prepayment","SUCCESS","2023-05-25T14:05:43.042+08:00[Asia/Shanghai]","0.0","80.52"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-05-25T14:15:13.074+08:00[Asia/Shanghai]","0.0","383.0"
"Voucher entries","Release retention partial","SUCCESS","2023-05-25T14:26:03.387+08:00[Asia/Shanghai]","0.0","139.48"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-05-25T14:29:17.29+08:00[Asia/Shanghai]","0.0","149.8"
"Voucher entries","Creating voucher entry","SUCCESS","2023-05-25T14:36:42.13+08:00[Asia/Shanghai]","0.0","119.99"
"Voucher entries","Release retention adding a line","SUCCESS","2023-05-25T14:38:42.783+08:00[Asia/Shanghai]","0.0","192.97"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-05-25T14:42:51.592+08:00[Asia/Shanghai]","0.0","131.13"
