"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-05-25T11:42:13.774+08:00[Asia/Shanghai]","0.0","48.24"
"Supplier creation","Search a supplier","FAILURE","2023-05-25T13:27:51.051+08:00[Asia/Shanghai]","0.0","43.87"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-05-25T13:28:35.574+08:00[Asia/Shanghai]","0.0","42.46"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-05-25T13:32:23.834+08:00[Asia/Shanghai]","0.0","53.95"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-05-25T13:33:18.435+08:00[Asia/Shanghai]","0.0","51.26"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-05-25T13:34:10.369+08:00[Asia/Shanghai]","0.0","52.55"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-05-25T13:35:03.558+08:00[Asia/Shanghai]","0.0","60.08"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-05-25T13:36:04.304+08:00[Asia/Shanghai]","0.0","47.28"
"Voucher entries","Release retention full","FAILURE","2023-05-25T13:36:52.892+08:00[Asia/Shanghai]","0.0","49.36"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-05-25T14:52:41.456+08:00[Asia/Shanghai]","0.0","70.98"
