"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-25T12:40:30.811+08:00[Asia/Shanghai]","0.0","292.56"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-25T12:49:33.243+08:00[Asia/Shanghai]","0.0","154.59"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-25T12:52:08.49+08:00[Asia/Shanghai]","0.0","119.7"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-25T12:57:05.177+08:00[Asia/Shanghai]","0.0","141.42"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-25T12:59:27.248+08:00[Asia/Shanghai]","0.0","138.35"
"Review AP entries","Search payment","SUCCESS","2023-05-25T13:01:46.268+08:00[Asia/Shanghai]","0.0","38.72"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-25T13:04:01.456+08:00[Asia/Shanghai]","0.0","236.12"
"Review AP entries","Print payment form","SUCCESS","2023-05-25T13:07:58.219+08:00[Asia/Shanghai]","0.0","75.17"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-25T13:09:14.032+08:00[Asia/Shanghai]","0.0","214.47"
"Review AP entries","Payment information","SUCCESS","2023-05-25T13:12:49.149+08:00[Asia/Shanghai]","0.0","84.27"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-05-25T13:14:14.083+08:00[Asia/Shanghai]","0.0","136.86"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-05-25T13:16:31.593+08:00[Asia/Shanghai]","0.0","212.74"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-05-25T13:20:04.994+08:00[Asia/Shanghai]","0.0","170.41"
