"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-05-25T11:34:40.236+08:00[Asia/Shanghai]","0.0","68.98"
"Manage bank account","Add a bank account","ERROR","2023-05-25T11:35:53.804+08:00[Asia/Shanghai]","0.0","185.79"
"Manage bank account","Edit a bank account","ERROR","2023-05-25T11:39:00.667+08:00[Asia/Shanghai]","0.0","192.33"
"Manage bank account","Search a bank account","FAILURE","2023-05-25T11:42:13.774+08:00[Asia/Shanghai]","0.0","48.24"
"Manage bank account","Activate a bank account","SUCCESS","2023-05-25T11:43:02.777+08:00[Asia/Shanghai]","0.0","54.75"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-05-25T11:43:58.265+08:00[Asia/Shanghai]","0.0","185.26"
"Payments","Create voucher entry and manual payment","IGNORED","2023-05-25T11:47:07.006+08:00[Asia/Shanghai]","0.0","0.99"
"Payments","Manual payment partial","ERROR","2023-05-25T11:47:08.208+08:00[Asia/Shanghai]","0.0","299.13"
"Payments","Manual payment with multiple documents","ERROR","2023-05-25T11:52:08.177+08:00[Asia/Shanghai]","0.0","308.38"
"Payments","Application of prepayment full","ERROR","2023-05-25T11:57:17.376+08:00[Asia/Shanghai]","0.0","272.78"
"Payments","Manual payment with negative amount","ERROR","2023-05-25T12:01:50.974+08:00[Asia/Shanghai]","0.0","297.14"
"Payments","Manual payment with zero payments","ERROR","2023-05-25T12:06:48.924+08:00[Asia/Shanghai]","0.0","526.17"
"Payments","Manual payment full","ERROR","2023-05-25T12:15:35.755+08:00[Asia/Shanghai]","0.0","264.65"
"Payments","Application of prepayment partial","ERROR","2023-05-25T12:20:01.05+08:00[Asia/Shanghai]","0.0","221.43"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-05-25T12:23:48.32+08:00[Asia/Shanghai]","0.0","150.96"
"Pre registration","Pre logging multi docs","SUCCESS","2023-05-25T12:26:19.933+08:00[Asia/Shanghai]","0.0","201.12"
"Pre registration","Pre logging","SUCCESS","2023-05-25T12:29:41.714+08:00[Asia/Shanghai]","0.0","97.15"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-05-25T12:31:19.527+08:00[Asia/Shanghai]","0.0","101.96"
"Pre registration","Pre logging simple","SUCCESS","2023-05-25T12:33:02.144+08:00[Asia/Shanghai]","0.0","60.74"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-05-25T12:34:03.542+08:00[Asia/Shanghai]","0.0","97.12"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-05-25T12:35:43.325+08:00[Asia/Shanghai]","0.0","102.56"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-05-25T12:37:26.525+08:00[Asia/Shanghai]","0.0","108.32"
"Redistribution","Voucher match with tolerance","ERROR","2023-05-25T12:39:15.512+08:00[Asia/Shanghai]","0.0","73.71"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-25T12:40:30.811+08:00[Asia/Shanghai]","0.0","292.56"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-05-25T12:45:24.039+08:00[Asia/Shanghai]","0.0","248.54"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-25T12:49:33.243+08:00[Asia/Shanghai]","0.0","154.59"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-25T12:52:08.49+08:00[Asia/Shanghai]","0.0","119.7"
