"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-06-03T17:40:28.934+08:00[Asia/Shanghai]","0.0","57.0"
"Voucher entries","Search and post PV","ERROR","2024-06-03T17:48:06.407+08:00[Asia/Shanghai]","0.0","62.15"
"Voucher entries","Voucher match with tax","ERROR","2024-06-03T17:51:50.331+08:00[Asia/Shanghai]","0.0","54.5"
"Voucher entries","Partial voucher match","ERROR","2024-06-03T17:52:45.526+08:00[Asia/Shanghai]","0.0","54.55"
"Voucher entries","Voucher match with retention","ERROR","2024-06-03T17:53:40.789+08:00[Asia/Shanghai]","0.0","58.55"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-06-03T17:54:40.078+08:00[Asia/Shanghai]","0.0","106.11"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-06-03T17:56:26.89+08:00[Asia/Shanghai]","0.0","54.03"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-06-03T17:57:21.666+08:00[Asia/Shanghai]","0.0","42.8"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-06-03T18:03:54.324+08:00[Asia/Shanghai]","0.0","46.95"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-06-03T18:06:01.813+08:00[Asia/Shanghai]","0.0","267.63"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-06-03T18:10:30.161+08:00[Asia/Shanghai]","0.0","47.65"
"Voucher entries","Partial voucher match with retention","ERROR","2024-06-03T18:11:18.52+08:00[Asia/Shanghai]","0.0","51.65"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-06-03T18:12:10.88+08:00[Asia/Shanghai]","0.0","57.64"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-06-03T18:13:09.248+08:00[Asia/Shanghai]","0.0","228.1"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-06-03T18:16:58.157+08:00[Asia/Shanghai]","0.0","52.21"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-06-03T18:17:51.085+08:00[Asia/Shanghai]","0.0","56.15"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-06-03T18:18:47.926+08:00[Asia/Shanghai]","0.0","46.51"
"Voucher entries","Simple voucher match","ERROR","2024-06-03T18:19:35.139+08:00[Asia/Shanghai]","0.0","45.74"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-06-03T18:22:41.738+08:00[Asia/Shanghai]","0.0","58.8"
"Voucher entries","Voucher matching","ERROR","2024-06-03T18:26:15.606+08:00[Asia/Shanghai]","0.0","53.9"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-06-03T18:35:00.434+08:00[Asia/Shanghai]","0.0","45.02"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-06-03T18:38:10.039+08:00[Asia/Shanghai]","0.0","58.1"
