"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-07-02T15:34:50.596+08:00[Asia/Shanghai]","0.0","122.94"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-07-02T15:37:48.246+08:00[Asia/Shanghai]","0.0","172.75"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-07-02T15:40:41.718+08:00[Asia/Shanghai]","0.0","193.91"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-07-02T15:44:54.361+08:00[Asia/Shanghai]","0.0","163.64"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-07-02T15:53:44.485+08:00[Asia/Shanghai]","0.0","288.86"
"Voucher entries","Simple prepayment","SUCCESS","2024-07-02T15:59:29.618+08:00[Asia/Shanghai]","0.0","73.12"
"Voucher entries","Release retention partial","SUCCESS","2024-07-02T16:15:03.356+08:00[Asia/Shanghai]","0.0","135.17"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-07-02T16:18:13.15+08:00[Asia/Shanghai]","0.0","150.16"
"Voucher entries","Creating voucher entry","SUCCESS","2024-07-02T16:24:22.282+08:00[Asia/Shanghai]","0.0","112.77"
"Voucher entries","Release retention adding a line","SUCCESS","2024-07-02T16:26:15.816+08:00[Asia/Shanghai]","0.0","208.04"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-07-02T16:30:40.675+08:00[Asia/Shanghai]","0.0","125.28"
