"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-07-02T14:04:25.971+08:00[Asia/Shanghai]","0.0","37.31"
"Manage bank account","Edit a bank account","FAILURE","2024-07-02T14:05:04.122+08:00[Asia/Shanghai]","0.0","40.59"
"Manage bank account","Search a bank account","FAILURE","2024-07-02T14:05:45.439+08:00[Asia/Shanghai]","0.0","41.74"
"Manage bank account","Activate a bank account","FAILURE","2024-07-02T14:06:27.915+08:00[Asia/Shanghai]","0.0","39.44"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-07-02T14:07:08.104+08:00[Asia/Shanghai]","0.0","40.76"
"Payments","Manual payment partial","ERROR","2024-07-02T14:07:50.459+08:00[Asia/Shanghai]","0.0","216.2"
"Payments","Manual payment with multiple documents","ERROR","2024-07-02T14:11:27.422+08:00[Asia/Shanghai]","0.0","248.46"
"Payments","Application of prepayment full","ERROR","2024-07-02T14:15:36.645+08:00[Asia/Shanghai]","0.0","105.32"
"Payments","Manual payment with negative amount","ERROR","2024-07-02T14:17:22.725+08:00[Asia/Shanghai]","0.0","235.7"
"Payments","Manual payment with zero payments","ERROR","2024-07-02T14:21:19.206+08:00[Asia/Shanghai]","0.0","359.84"
"Payments","Manual payment full","ERROR","2024-07-02T14:27:19.824+08:00[Asia/Shanghai]","0.0","226.83"
"Payments","Application of prepayment partial","ERROR","2024-07-02T14:31:07.445+08:00[Asia/Shanghai]","0.0","75.74"
"Pre registration","Pre logging multi docs","ERROR","2024-07-02T14:34:56.915+08:00[Asia/Shanghai]","0.0","135.57"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-07-02T14:42:56.666+08:00[Asia/Shanghai]","0.0","44.33"
"Redistribution","Voucher match with tolerance","ERROR","2024-07-02T14:45:24.118+08:00[Asia/Shanghai]","0.0","93.83"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-07-02T14:46:59.315+08:00[Asia/Shanghai]","0.0","199.14"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-07-02T14:54:22.079+08:00[Asia/Shanghai]","0.0","136.23"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-07-02T14:56:39.037+08:00[Asia/Shanghai]","0.0","135.89"
"Review AP entries","Create voucher entry and edit","ERROR","2024-07-02T14:58:55.7+08:00[Asia/Shanghai]","0.0","133.42"
"Review AP entries","Edit AP entries","ERROR","2024-07-02T15:01:09.894+08:00[Asia/Shanghai]","0.0","138.52"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-07-02T15:06:24.213+08:00[Asia/Shanghai]","0.0","105.83"
"Review AP entries","Check edit button for voucher entry and redistribute GL","ERROR","2024-07-02T15:08:10.758+08:00[Asia/Shanghai]","0.0","121.8"
"Review AP entries","Print payment form","FAILURE","2024-07-02T15:10:13.325+08:00[Asia/Shanghai]","0.0","77.67"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-07-02T15:11:31.706+08:00[Asia/Shanghai]","0.0","192.71"
