"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-07-02T14:04:25.971+08:00[Asia/Shanghai]","0.0","37.31"
"Manage bank account","Edit a bank account","FAILURE","2024-07-02T14:05:04.122+08:00[Asia/Shanghai]","0.0","40.59"
"Manage bank account","Search a bank account","FAILURE","2024-07-02T14:05:45.439+08:00[Asia/Shanghai]","0.0","41.74"
"Manage bank account","Activate a bank account","FAILURE","2024-07-02T14:06:27.915+08:00[Asia/Shanghai]","0.0","39.44"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-07-02T14:07:08.104+08:00[Asia/Shanghai]","0.0","40.76"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-07-02T14:56:39.037+08:00[Asia/Shanghai]","0.0","135.89"
"Review AP entries","Print payment form","FAILURE","2024-07-02T15:10:13.325+08:00[Asia/Shanghai]","0.0","77.67"
"Supplier creation","View a supplier","FAILURE","2024-07-02T15:24:07.763+08:00[Asia/Shanghai]","0.0","38.73"
"Supplier creation","Edit a supplier","FAILURE","2024-07-02T15:24:47.237+08:00[Asia/Shanghai]","0.0","42.82"
"Supplier creation","Payment terms update","FAILURE","2024-07-02T15:25:30.793+08:00[Asia/Shanghai]","0.0","41.4"
"Supplier creation","Search a supplier","FAILURE","2024-07-02T15:26:12.908+08:00[Asia/Shanghai]","0.0","35.1"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-07-02T15:26:48.718+08:00[Asia/Shanghai]","0.0","37.22"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-07-02T15:27:26.675+08:00[Asia/Shanghai]","0.0","45.31"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-07-02T15:29:35.922+08:00[Asia/Shanghai]","0.0","53.07"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-07-02T15:30:29.719+08:00[Asia/Shanghai]","0.0","51.06"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-07-02T15:31:21.488+08:00[Asia/Shanghai]","0.0","51.97"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-07-02T15:32:14.162+08:00[Asia/Shanghai]","0.0","56.38"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2024-07-02T15:33:11.254+08:00[Asia/Shanghai]","0.0","44.8"
"Voucher entries","Release retention full","FAILURE","2024-07-02T15:33:57.159+08:00[Asia/Shanghai]","0.0","52.71"
"Voucher entries","Voucher entry export CSV file","FAILURE","2024-07-02T16:21:39.511+08:00[Asia/Shanghai]","0.0","162.05"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-07-02T16:44:05.191+08:00[Asia/Shanghai]","0.0","42.04"
