"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-07-03T10:46:31.358+08:00[Asia/Shanghai]","0.0","52.08"
"Voucher entries","Search and post PV","ERROR","2024-07-03T10:53:33.81+08:00[Asia/Shanghai]","0.0","50.96"
"Voucher entries","Voucher match with tax","ERROR","2024-07-03T10:57:00.385+08:00[Asia/Shanghai]","0.0","49.53"
"Voucher entries","Partial voucher match","ERROR","2024-07-03T10:57:50.628+08:00[Asia/Shanghai]","0.0","48.02"
"Voucher entries","Voucher match with retention","ERROR","2024-07-03T10:58:39.362+08:00[Asia/Shanghai]","0.0","51.76"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-07-03T10:59:31.821+08:00[Asia/Shanghai]","0.0","101.5"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-07-03T11:01:14.026+08:00[Asia/Shanghai]","0.0","50.04"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-07-03T11:02:04.771+08:00[Asia/Shanghai]","0.0","57.74"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-07-03T11:07:47.075+08:00[Asia/Shanghai]","0.0","47.46"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-07-03T11:09:45.352+08:00[Asia/Shanghai]","0.0","234.75"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-07-03T11:13:40.823+08:00[Asia/Shanghai]","0.0","48.63"
"Voucher entries","Partial voucher match with retention","ERROR","2024-07-03T11:14:30.19+08:00[Asia/Shanghai]","0.0","53.39"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-07-03T11:15:24.376+08:00[Asia/Shanghai]","0.0","49.12"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-07-03T11:16:14.223+08:00[Asia/Shanghai]","0.0","235.93"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-07-03T11:20:10.93+08:00[Asia/Shanghai]","0.0","52.02"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-07-03T11:21:03.653+08:00[Asia/Shanghai]","0.0","52.13"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-07-03T11:21:56.527+08:00[Asia/Shanghai]","0.0","49.01"
"Voucher entries","Simple voucher match","ERROR","2024-07-03T11:22:46.268+08:00[Asia/Shanghai]","0.0","50.88"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-07-03T11:24:25.124+08:00[Asia/Shanghai]","0.0","50.26"
"Voucher entries","Voucher matching","ERROR","2024-07-03T11:27:43.638+08:00[Asia/Shanghai]","0.0","46.61"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-07-03T11:33:40.475+08:00[Asia/Shanghai]","0.0","52.64"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-07-03T11:36:40.236+08:00[Asia/Shanghai]","0.0","47.9"
