"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-07-03T09:20:02.423+08:00[Asia/Shanghai]","0.0","64.17"
"Manage bank account","Edit a bank account","FAILURE","2024-07-03T09:21:07.423+08:00[Asia/Shanghai]","0.0","37.63"
"Manage bank account","Search a bank account","FAILURE","2024-07-03T09:21:45.81+08:00[Asia/Shanghai]","0.0","38.19"
"Manage bank account","Activate a bank account","FAILURE","2024-07-03T09:22:24.733+08:00[Asia/Shanghai]","0.0","38.22"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-07-03T09:23:03.681+08:00[Asia/Shanghai]","0.0","37.17"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-07-03T10:22:14.539+08:00[Asia/Shanghai]","0.0","116.93"
"Review AP entries","Print payment form","FAILURE","2024-07-03T10:24:12.196+08:00[Asia/Shanghai]","0.0","70.32"
"Supplier creation","View a supplier","FAILURE","2024-07-03T10:34:11.105+08:00[Asia/Shanghai]","0.0","34.56"
"Supplier creation","Edit a supplier","FAILURE","2024-07-03T10:34:46.4+08:00[Asia/Shanghai]","0.0","39.73"
"Supplier creation","Payment terms update","FAILURE","2024-07-03T10:35:26.853+08:00[Asia/Shanghai]","0.0","35.9"
"Supplier creation","Search a supplier","FAILURE","2024-07-03T10:36:03.497+08:00[Asia/Shanghai]","0.0","36.99"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-07-03T10:36:42.39+08:00[Asia/Shanghai]","0.0","41.97"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-07-03T10:37:25.109+08:00[Asia/Shanghai]","0.0","42.05"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-07-03T10:39:31.73+08:00[Asia/Shanghai]","0.0","47.37"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-07-03T10:40:19.805+08:00[Asia/Shanghai]","0.0","52.04"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-07-03T10:41:12.552+08:00[Asia/Shanghai]","0.0","46.63"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-07-03T10:41:59.985+08:00[Asia/Shanghai]","0.0","48.65"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2024-07-03T10:42:49.351+08:00[Asia/Shanghai]","0.0","44.51"
"Voucher entries","Release retention full","FAILURE","2024-07-03T10:43:34.986+08:00[Asia/Shanghai]","0.0","47.05"
"Voucher entries","Release retention partial","FAILURE","2024-07-03T11:23:37.85+08:00[Asia/Shanghai]","0.0","46.56"
"Voucher entries","Voucher entry export CSV file","FAILURE","2024-07-03T11:28:30.973+08:00[Asia/Shanghai]","0.0","151.08"
"Voucher entries","Release retention adding a line","FAILURE","2024-07-03T11:32:53.076+08:00[Asia/Shanghai]","0.0","46.59"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-07-03T11:47:31.34+08:00[Asia/Shanghai]","0.0","44.91"
