"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-07-03T09:47:15.522+08:00[Asia/Shanghai]","0.0","136.28"
"Pre registration","Pre logging","SUCCESS","2024-07-03T09:51:44.197+08:00[Asia/Shanghai]","0.0","88.09"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-07-03T09:53:12.994+08:00[Asia/Shanghai]","0.0","97.61"
"Pre registration","Pre logging simple","SUCCESS","2024-07-03T09:54:51.337+08:00[Asia/Shanghai]","0.0","59.05"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-07-03T09:55:51.114+08:00[Asia/Shanghai]","0.0","91.2"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2024-07-03T09:57:24.264+08:00[Asia/Shanghai]","0.0","101.87"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-07-03T09:59:06.88+08:00[Asia/Shanghai]","0.0","99.58"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2024-07-03T10:05:49.333+08:00[Asia/Shanghai]","0.0","237.17"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-07-03T10:12:00.837+08:00[Asia/Shanghai]","0.0","106.93"
"Review AP entries","Search payment","SUCCESS","2024-07-03T10:19:55.608+08:00[Asia/Shanghai]","0.0","36.56"
"Review AP entries","Payment information","SUCCESS","2024-07-03T10:27:25.558+08:00[Asia/Shanghai]","0.0","88.87"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2024-07-03T10:38:08.114+08:00[Asia/Shanghai]","0.0","82.89"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-07-03T10:44:22.769+08:00[Asia/Shanghai]","0.0","127.88"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-07-03T10:47:24.158+08:00[Asia/Shanghai]","0.0","171.23"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-07-03T10:50:16.182+08:00[Asia/Shanghai]","0.0","196.89"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-07-03T10:54:25.5+08:00[Asia/Shanghai]","0.0","154.19"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-07-03T11:03:03.262+08:00[Asia/Shanghai]","0.0","283.09"
"Voucher entries","Simple prepayment","SUCCESS","2024-07-03T11:08:35.253+08:00[Asia/Shanghai]","0.0","69.39"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-07-03T11:25:16.122+08:00[Asia/Shanghai]","0.0","146.78"
"Voucher entries","Creating voucher entry","SUCCESS","2024-07-03T11:31:02.796+08:00[Asia/Shanghai]","0.0","109.56"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-07-03T11:34:33.856+08:00[Asia/Shanghai]","0.0","125.67"
