"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-07-03T10:02:27.618+08:00[Asia/Shanghai]","0.0","200.96"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-07-03T10:09:47.244+08:00[Asia/Shanghai]","0.0","132.87"
"Review AP entries","Create voucher entry and edit","ERROR","2024-07-03T10:13:48.461+08:00[Asia/Shanghai]","0.0","135.5"
"Review AP entries","Edit AP entries","ERROR","2024-07-03T10:16:04.713+08:00[Asia/Shanghai]","0.0","129.14"
"Review AP entries","Review voucher AP entries","ERROR","2024-07-03T10:18:14.626+08:00[Asia/Shanghai]","0.0","100.24"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-07-03T10:20:32.893+08:00[Asia/Shanghai]","0.0","100.94"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-07-03T10:25:23.223+08:00[Asia/Shanghai]","0.0","121.6"
"Review AP entries","Delete voucher AP entry","ERROR","2024-07-03T10:28:55.13+08:00[Asia/Shanghai]","0.0","100.2"
"Review AP entries","Create voucher entry and test filter selection","ERROR","2024-07-03T10:30:36.061+08:00[Asia/Shanghai]","0.0","102.08"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-07-03T10:32:18.843+08:00[Asia/Shanghai]","0.0","108.09"
