"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment partial","ERROR","2024-07-04T15:28:00.379+08:00[Asia/Shanghai]","0.0","217.9"
"Payments","Manual payment with multiple documents","ERROR","2024-07-04T15:31:39.097+08:00[Asia/Shanghai]","0.0","254.88"
"Payments","Application of prepayment full","ERROR","2024-07-04T15:35:54.87+08:00[Asia/Shanghai]","0.0","108.32"
"Payments","Manual payment with negative amount","ERROR","2024-07-04T15:37:43.923+08:00[Asia/Shanghai]","0.0","242.52"
"Payments","Manual payment with zero payments","ERROR","2024-07-04T15:41:47.152+08:00[Asia/Shanghai]","0.0","370.98"
"Payments","Manual payment full","ERROR","2024-07-04T15:47:58.946+08:00[Asia/Shanghai]","0.0","230.98"
"Payments","Application of prepayment partial","ERROR","2024-07-04T15:51:50.693+08:00[Asia/Shanghai]","0.0","74.91"
"Pre registration","Pre logging multi docs","ERROR","2024-07-04T15:55:35.366+08:00[Asia/Shanghai]","0.0","136.16"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-07-04T16:03:46.139+08:00[Asia/Shanghai]","0.0","48.24"
"Redistribution","Voucher match with tolerance","ERROR","2024-07-04T16:06:21.815+08:00[Asia/Shanghai]","0.0","95.81"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-07-04T16:07:59.128+08:00[Asia/Shanghai]","0.0","214.82"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-07-04T16:15:44.2+08:00[Asia/Shanghai]","0.0","139.2"
"Review AP entries","Create voucher entry and edit","ERROR","2024-07-04T16:19:57.547+08:00[Asia/Shanghai]","0.0","149.15"
"Review AP entries","Edit AP entries","ERROR","2024-07-04T16:22:27.518+08:00[Asia/Shanghai]","0.0","141.64"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-07-04T16:27:30.793+08:00[Asia/Shanghai]","0.0","107.56"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-07-04T16:32:38.84+08:00[Asia/Shanghai]","0.0","202.44"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-07-04T16:43:10.22+08:00[Asia/Shanghai]","0.0","136.67"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-07-04T16:58:18.822+08:00[Asia/Shanghai]","0.0","49.78"
"Voucher entries","Search and post PV","ERROR","2024-07-04T17:05:10.22+08:00[Asia/Shanghai]","0.0","52.33"
"Voucher entries","Voucher match with tax","ERROR","2024-07-04T17:08:42.65+08:00[Asia/Shanghai]","0.0","51.71"
"Voucher entries","Partial voucher match","ERROR","2024-07-04T17:09:35.078+08:00[Asia/Shanghai]","0.0","57.1"
"Voucher entries","Voucher match with retention","ERROR","2024-07-04T17:10:32.904+08:00[Asia/Shanghai]","0.0","53.06"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-07-04T17:11:26.677+08:00[Asia/Shanghai]","0.0","96.17"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-07-04T17:13:03.56+08:00[Asia/Shanghai]","0.0","51.08"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-07-04T17:13:55.363+08:00[Asia/Shanghai]","0.0","49.66"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-07-04T17:19:32.384+08:00[Asia/Shanghai]","0.0","54.89"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-07-04T17:21:39.856+08:00[Asia/Shanghai]","0.0","238.8"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-07-04T17:25:39.379+08:00[Asia/Shanghai]","0.0","52.7"
"Voucher entries","Partial voucher match with retention","ERROR","2024-07-04T17:26:32.801+08:00[Asia/Shanghai]","0.0","50.08"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-07-04T17:27:23.579+08:00[Asia/Shanghai]","0.0","54.96"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-07-04T17:28:19.263+08:00[Asia/Shanghai]","0.0","233.97"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-07-04T17:32:13.961+08:00[Asia/Shanghai]","0.0","72.43"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-07-04T17:33:27.123+08:00[Asia/Shanghai]","0.0","52.08"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-07-04T17:34:19.902+08:00[Asia/Shanghai]","0.0","48.16"
"Voucher entries","Simple voucher match","ERROR","2024-07-04T17:35:08.801+08:00[Asia/Shanghai]","0.0","48.65"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-07-04T17:36:47.404+08:00[Asia/Shanghai]","0.0","55.14"
"Voucher entries","Voucher matching","ERROR","2024-07-04T17:40:19.37+08:00[Asia/Shanghai]","0.0","43.4"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-07-04T17:46:24.89+08:00[Asia/Shanghai]","0.0","47.12"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-07-04T17:49:18.259+08:00[Asia/Shanghai]","0.0","54.64"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-07-04T17:55:37.754+08:00[Asia/Shanghai]","0.0","170.85"
