"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment partial","ERROR","2024-07-05T08:33:49.755+08:00[Asia/Shanghai]","0.0","210.96"
"Payments","Manual payment with multiple documents","ERROR","2024-07-05T08:37:21.445+08:00[Asia/Shanghai]","0.0","247.17"
"Payments","Application of prepayment full","ERROR","2024-07-05T08:41:29.998+08:00[Asia/Shanghai]","0.0","102.19"
"Payments","Manual payment with negative amount","ERROR","2024-07-05T08:43:12.922+08:00[Asia/Shanghai]","0.0","230.09"
"Payments","Manual payment with zero payments","ERROR","2024-07-05T08:47:03.815+08:00[Asia/Shanghai]","0.0","348.05"
"Payments","Manual payment full","ERROR","2024-07-05T08:52:52.624+08:00[Asia/Shanghai]","0.0","229.26"
"Payments","Application of prepayment partial","ERROR","2024-07-05T08:56:42.718+08:00[Asia/Shanghai]","0.0","75.13"
"Pre registration","Pre logging multi docs","ERROR","2024-07-05T09:00:24.622+08:00[Asia/Shanghai]","0.0","136.41"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-07-05T09:08:40.304+08:00[Asia/Shanghai]","0.0","47.7"
"Redistribution","Voucher match with tolerance","ERROR","2024-07-05T09:11:09.531+08:00[Asia/Shanghai]","0.0","101.48"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-07-05T09:12:52.432+08:00[Asia/Shanghai]","0.0","202.21"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-07-05T09:20:19.713+08:00[Asia/Shanghai]","0.0","136.1"
"Review AP entries","Create voucher entry and edit","ERROR","2024-07-05T09:24:36.498+08:00[Asia/Shanghai]","0.0","138.52"
"Review AP entries","Edit AP entries","ERROR","2024-07-05T09:26:55.777+08:00[Asia/Shanghai]","0.0","145.61"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-07-05T09:32:13.121+08:00[Asia/Shanghai]","0.0","107.8"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-07-05T09:37:22.723+08:00[Asia/Shanghai]","0.0","190.5"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-07-05T09:47:39.331+08:00[Asia/Shanghai]","0.0","136.29"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-07-05T10:03:29.066+08:00[Asia/Shanghai]","0.0","48.86"
"Voucher entries","Search and post PV","ERROR","2024-07-05T10:10:18.273+08:00[Asia/Shanghai]","0.0","53.61"
"Voucher entries","Voucher match with tax","ERROR","2024-07-05T10:13:48.846+08:00[Asia/Shanghai]","0.0","50.82"
"Voucher entries","Partial voucher match","ERROR","2024-07-05T10:14:40.391+08:00[Asia/Shanghai]","0.0","49.7"
"Voucher entries","Voucher match with retention","ERROR","2024-07-05T10:15:30.85+08:00[Asia/Shanghai]","0.0","53.71"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-07-05T10:16:25.302+08:00[Asia/Shanghai]","0.0","104.65"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-07-05T10:18:10.668+08:00[Asia/Shanghai]","0.0","53.23"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-07-05T10:19:04.639+08:00[Asia/Shanghai]","0.0","46.94"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-07-05T10:24:46.226+08:00[Asia/Shanghai]","0.0","51.04"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-07-05T10:26:51.201+08:00[Asia/Shanghai]","0.0","241.75"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-07-05T10:30:53.674+08:00[Asia/Shanghai]","0.0","46.97"
"Voucher entries","Partial voucher match with retention","ERROR","2024-07-05T10:31:41.371+08:00[Asia/Shanghai]","0.0","50.78"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-07-05T10:32:32.855+08:00[Asia/Shanghai]","0.0","51.5"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-07-05T10:33:25.09+08:00[Asia/Shanghai]","0.0","229.49"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-07-05T10:37:15.333+08:00[Asia/Shanghai]","0.0","46.79"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-07-05T10:38:02.856+08:00[Asia/Shanghai]","0.0","53.25"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-07-05T10:38:56.826+08:00[Asia/Shanghai]","0.0","53.31"
"Voucher entries","Simple voucher match","ERROR","2024-07-05T10:39:50.897+08:00[Asia/Shanghai]","0.0","47.81"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-07-05T10:41:31.803+08:00[Asia/Shanghai]","0.0","51.5"
"Voucher entries","Voucher matching","ERROR","2024-07-05T10:44:48.665+08:00[Asia/Shanghai]","0.0","49.83"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-07-05T10:51:03.598+08:00[Asia/Shanghai]","0.0","52.47"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-07-05T10:54:03.835+08:00[Asia/Shanghai]","0.0","49.09"
