"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-07-07T14:39:25.928+08:00[Asia/Shanghai]","0.0","37.49"
"Manage bank account","Add a bank account","ERROR","2023-07-07T14:40:06.211+08:00[Asia/Shanghai]","0.0","163.14"
"Manage bank account","Edit a bank account","ERROR","2023-07-07T14:42:50.104+08:00[Asia/Shanghai]","0.0","166.24"
"Manage bank account","Search a bank account","FAILURE","2023-07-07T14:45:37.01+08:00[Asia/Shanghai]","0.0","45.85"
"Manage bank account","Activate a bank account","SUCCESS","2023-07-07T14:46:23.517+08:00[Asia/Shanghai]","0.0","40.26"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-07-07T14:47:04.44+08:00[Asia/Shanghai]","0.0","170.08"
"Payments","Manual payment partial","SUCCESS","2023-07-07T14:49:56.411+08:00[Asia/Shanghai]","0.0","211.33"
"Payments","Manual payment with multiple documents","ERROR","2023-07-07T14:53:28.4+08:00[Asia/Shanghai]","0.0","158.74"
"Payments","Application of prepayment full","FAILURE","2023-07-07T14:56:07.827+08:00[Asia/Shanghai]","0.0","389.11"
"Payments","Manual payment with negative amount","SUCCESS","2023-07-07T15:02:37.597+08:00[Asia/Shanghai]","0.0","267.28"
"Payments","Manual payment with zero payments","SUCCESS","2023-07-07T15:07:05.546+08:00[Asia/Shanghai]","0.0","385.39"
"Payments","Manual payment full","SUCCESS","2023-07-07T15:13:31.621+08:00[Asia/Shanghai]","0.0","218.56"
"Payments","Application of prepayment partial","FAILURE","2023-07-07T15:17:10.844+08:00[Asia/Shanghai]","0.0","368.79"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-07-07T15:23:27.98+08:00[Asia/Shanghai]","0.0","142.71"
"Pre registration","Pre logging multi docs","SUCCESS","2023-07-07T15:25:51.361+08:00[Asia/Shanghai]","0.0","195.88"
"Pre registration","Pre logging","SUCCESS","2023-07-07T15:29:07.902+08:00[Asia/Shanghai]","0.0","98.71"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-07-07T15:30:47.277+08:00[Asia/Shanghai]","0.0","97.92"
"Pre registration","Pre logging simple","SUCCESS","2023-07-07T15:32:25.845+08:00[Asia/Shanghai]","0.0","59.72"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-07-07T15:33:26.226+08:00[Asia/Shanghai]","0.0","97.55"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-07-07T15:35:07.081+08:00[Asia/Shanghai]","0.0","99.84"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-07-07T15:36:47.596+08:00[Asia/Shanghai]","0.0","95.38"
"Redistribution","Voucher match with tolerance","ERROR","2023-07-07T15:38:23.635+08:00[Asia/Shanghai]","0.0","101.82"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-07-07T15:40:07.004+08:00[Asia/Shanghai]","0.0","282.4"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2023-07-07T15:44:50.073+08:00[Asia/Shanghai]","0.0","250.09"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-07-07T15:49:00.832+08:00[Asia/Shanghai]","0.0","147.52"
