"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-07-10T14:45:44.948+08:00[Asia/Shanghai]","0.0","63.67"
"Voucher entries","Search and post PV","ERROR","2023-07-10T14:53:47.845+08:00[Asia/Shanghai]","0.0","65.56"
"Voucher entries","Voucher match with tax","ERROR","2023-07-10T14:57:41.566+08:00[Asia/Shanghai]","0.0","76.35"
"Voucher entries","Partial voucher match","ERROR","2023-07-10T14:58:58.563+08:00[Asia/Shanghai]","0.0","58.83"
"Voucher entries","Voucher match with retention","ERROR","2023-07-10T14:59:58.048+08:00[Asia/Shanghai]","0.0","56.07"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-07-10T15:00:54.774+08:00[Asia/Shanghai]","0.0","117.74"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-07-10T15:02:53.171+08:00[Asia/Shanghai]","0.0","342.21"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-07-10T15:08:36.018+08:00[Asia/Shanghai]","0.0","79.83"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-07-10T15:15:12.72+08:00[Asia/Shanghai]","0.0","56.48"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-07-10T15:22:09.97+08:00[Asia/Shanghai]","0.0","63.23"
"Voucher entries","Partial voucher match with retention","ERROR","2023-07-10T15:23:13.882+08:00[Asia/Shanghai]","0.0","54.9"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-07-10T15:24:09.432+08:00[Asia/Shanghai]","0.0","55.44"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-07-10T15:31:47.629+08:00[Asia/Shanghai]","0.0","67.58"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-07-10T15:35:32.486+08:00[Asia/Shanghai]","0.0","62.18"
"Voucher entries","Simple voucher match","ERROR","2023-07-10T15:36:35.302+08:00[Asia/Shanghai]","0.0","53.65"
"Voucher entries","Release retention partial","ERROR","2023-07-10T15:37:29.606+08:00[Asia/Shanghai]","0.0","142.67"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-07-10T15:39:52.919+08:00[Asia/Shanghai]","0.0","51.54"
"Voucher entries","Voucher matching","ERROR","2023-07-10T15:43:21.591+08:00[Asia/Shanghai]","0.0","53.08"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-07-10T15:52:34.809+08:00[Asia/Shanghai]","0.0","62.9"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-07-10T15:56:11.285+08:00[Asia/Shanghai]","0.0","63.46"
