"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-07-11T15:32:36.236+08:00[Asia/Shanghai]","0.0","158.77"
"Pre registration","Pre logging with tax rate rounded","ERROR","2023-07-11T16:11:58.494+08:00[Asia/Shanghai]","0.0","205.82"
"Redistribution","Voucher match with tolerance","ERROR","2023-07-11T16:21:35.249+08:00[Asia/Shanghai]","0.0","109.3"
"Review AP entries","Payment information","ERROR","2023-07-11T16:57:50.14+08:00[Asia/Shanghai]","0.0","367.39"
"Supplier creation","Payment terms update","ERROR","2023-07-11T17:17:10.353+08:00[Asia/Shanghai]","0.0","198.8"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-07-11T17:33:15.169+08:00[Asia/Shanghai]","0.0","54.33"
"Voucher entries","Search and post PV","ERROR","2023-07-11T17:40:33.165+08:00[Asia/Shanghai]","0.0","52.57"
"Voucher entries","Voucher match with tax","ERROR","2023-07-11T17:44:10.798+08:00[Asia/Shanghai]","0.0","52.02"
"Voucher entries","Partial voucher match","ERROR","2023-07-11T17:45:03.48+08:00[Asia/Shanghai]","0.0","53.47"
"Voucher entries","Voucher match with retention","ERROR","2023-07-11T17:45:57.592+08:00[Asia/Shanghai]","0.0","48.4"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-07-11T17:46:46.677+08:00[Asia/Shanghai]","0.0","106.37"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-07-11T17:48:33.704+08:00[Asia/Shanghai]","0.0","50.87"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-07-11T17:49:25.243+08:00[Asia/Shanghai]","0.0","52.92"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-07-11T17:55:40.76+08:00[Asia/Shanghai]","0.0","54.87"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-07-11T18:01:27.338+08:00[Asia/Shanghai]","0.0","56.5"
"Voucher entries","Partial voucher match with retention","ERROR","2023-07-11T18:02:24.505+08:00[Asia/Shanghai]","0.0","58.17"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-07-11T18:03:23.359+08:00[Asia/Shanghai]","0.0","61.22"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-07-11T18:10:51.945+08:00[Asia/Shanghai]","0.0","46.99"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-07-11T18:14:48.296+08:00[Asia/Shanghai]","0.0","52.94"
"Voucher entries","Simple voucher match","ERROR","2023-07-11T18:15:41.9+08:00[Asia/Shanghai]","0.0","50.91"
"Voucher entries","Release retention partial","ERROR","2023-07-11T18:16:33.464+08:00[Asia/Shanghai]","0.0","127.48"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-07-11T18:18:41.616+08:00[Asia/Shanghai]","0.0","54.76"
"Voucher entries","Voucher matching","ERROR","2023-07-11T18:22:08.407+08:00[Asia/Shanghai]","0.0","60.12"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-07-11T18:31:07.247+08:00[Asia/Shanghai]","0.0","48.49"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-07-11T18:34:04.159+08:00[Asia/Shanghai]","0.0","50.71"
