"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-07-11T15:19:53.481+08:00[Asia/Shanghai]","0.0","40.67"
"Manage bank account","Add a bank account","SUCCESS","2023-07-11T15:20:36.997+08:00[Asia/Shanghai]","0.0","88.81"
"Manage bank account","Edit a bank account","SUCCESS","2023-07-11T15:22:06.463+08:00[Asia/Shanghai]","0.0","103.34"
"Manage bank account","Activate a bank account","SUCCESS","2023-07-11T15:24:29.124+08:00[Asia/Shanghai]","0.0","52.82"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-07-11T15:25:22.601+08:00[Asia/Shanghai]","0.0","207.38"
"Payments","Manual payment partial","SUCCESS","2023-07-11T15:28:53.875+08:00[Asia/Shanghai]","0.0","221.7"
"Payments","Manual payment with negative amount","SUCCESS","2023-07-11T15:42:56.859+08:00[Asia/Shanghai]","0.0","268.38"
"Payments","Manual payment with zero payments","SUCCESS","2023-07-11T15:47:25.902+08:00[Asia/Shanghai]","0.0","419.13"
"Payments","Manual payment full","SUCCESS","2023-07-11T15:54:25.705+08:00[Asia/Shanghai]","0.0","219.64"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-07-11T16:04:36.691+08:00[Asia/Shanghai]","0.0","149.37"
"Pre registration","Pre logging multi docs","SUCCESS","2023-07-11T16:07:06.74+08:00[Asia/Shanghai]","0.0","199.45"
"Pre registration","Pre logging","SUCCESS","2023-07-11T16:10:26.853+08:00[Asia/Shanghai]","0.0","90.99"
"Pre registration","Pre logging simple","SUCCESS","2023-07-11T16:15:24.972+08:00[Asia/Shanghai]","0.0","73.65"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-07-11T16:16:39.288+08:00[Asia/Shanghai]","0.0","93.4"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-07-11T16:18:15.434+08:00[Asia/Shanghai]","0.0","101.12"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-07-11T16:19:57.192+08:00[Asia/Shanghai]","0.0","97.39"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-07-11T16:23:26.122+08:00[Asia/Shanghai]","0.0","290.87"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2023-07-11T16:28:17.629+08:00[Asia/Shanghai]","0.0","259.94"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-07-11T16:32:38.232+08:00[Asia/Shanghai]","0.0","165.07"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-07-11T16:35:23.987+08:00[Asia/Shanghai]","0.0","123.32"
"Review AP entries","Create voucher entry and edit","SUCCESS","2023-07-11T16:37:27.972+08:00[Asia/Shanghai]","0.0","163.06"
"Review AP entries","Edit AP entries","SUCCESS","2023-07-11T16:40:11.7+08:00[Asia/Shanghai]","0.0","161.0"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-07-11T16:42:53.376+08:00[Asia/Shanghai]","0.0","139.49"
"Review AP entries","Search payment","SUCCESS","2023-07-11T16:45:13.523+08:00[Asia/Shanghai]","0.0","39.94"
"Review AP entries","Reversal of unposted voucher match","SUCCESS","2023-07-11T16:45:54.114+08:00[Asia/Shanghai]","0.0","123.94"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-07-11T16:47:58.713+08:00[Asia/Shanghai]","0.0","246.48"
"Review AP entries","Print payment form","SUCCESS","2023-07-11T16:52:05.858+08:00[Asia/Shanghai]","0.0","94.66"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-07-11T16:53:41.168+08:00[Asia/Shanghai]","0.0","248.31"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-07-11T17:03:58.185+08:00[Asia/Shanghai]","0.0","181.18"
