"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-07-11T15:23:50.479+08:00[Asia/Shanghai]","0.0","37.89"
"Payments","Application of prepayment full","FAILURE","2023-07-11T15:35:15.654+08:00[Asia/Shanghai]","0.0","460.55"
"Payments","Application of prepayment partial","FAILURE","2023-07-11T15:58:06.03+08:00[Asia/Shanghai]","0.0","382.55"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-07-11T17:21:15.294+08:00[Asia/Shanghai]","0.0","48.14"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-07-11T17:25:03.928+08:00[Asia/Shanghai]","0.0","52.64"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-07-11T17:25:57.244+08:00[Asia/Shanghai]","0.0","52.51"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-07-11T17:26:50.416+08:00[Asia/Shanghai]","0.0","59.07"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-07-11T17:27:50.131+08:00[Asia/Shanghai]","0.0","56.35"
"Voucher entries","Release retention full","FAILURE","2023-07-11T17:30:04.814+08:00[Asia/Shanghai]","0.0","56.07"
"Voucher entries","Voucher match with retention and tax","FAILURE","2023-07-11T18:11:39.577+08:00[Asia/Shanghai]","0.0","188.06"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-07-11T18:23:09.195+08:00[Asia/Shanghai]","0.0","157.58"
