"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2023-07-12T11:40:34.078+08:00[Asia/Shanghai]","0.0","51.18"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-07-12T11:43:40.941+08:00[Asia/Shanghai]","0.0","58.82"
"Voucher entries","Search and post PV","ERROR","2023-07-12T11:51:16.744+08:00[Asia/Shanghai]","0.0","55.25"
"Voucher entries","Voucher match with tax","ERROR","2023-07-12T11:55:09.576+08:00[Asia/Shanghai]","0.0","50.76"
"Voucher entries","Partial voucher match","ERROR","2023-07-12T11:56:01.011+08:00[Asia/Shanghai]","0.0","51.52"
"Voucher entries","Voucher match with retention","ERROR","2023-07-12T11:56:53.225+08:00[Asia/Shanghai]","0.0","51.7"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-07-12T11:57:45.616+08:00[Asia/Shanghai]","0.0","108.88"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-07-12T11:59:35.183+08:00[Asia/Shanghai]","0.0","51.96"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-07-12T12:00:27.831+08:00[Asia/Shanghai]","0.0","54.99"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-07-12T12:06:28.139+08:00[Asia/Shanghai]","0.0","59.5"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-07-12T12:12:12.014+08:00[Asia/Shanghai]","0.0","67.99"
"Voucher entries","Partial voucher match with retention","ERROR","2023-07-12T12:13:20.688+08:00[Asia/Shanghai]","0.0","51.78"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-07-12T12:14:13.154+08:00[Asia/Shanghai]","0.0","50.31"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-07-12T12:22:04.953+08:00[Asia/Shanghai]","0.0","65.18"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-07-12T12:25:58.314+08:00[Asia/Shanghai]","0.0","49.94"
"Voucher entries","Simple voucher match","ERROR","2023-07-12T12:26:48.953+08:00[Asia/Shanghai]","0.0","52.41"
"Voucher entries","Release retention partial","ERROR","2023-07-12T12:27:42.052+08:00[Asia/Shanghai]","0.0","126.39"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-07-12T12:29:49.126+08:00[Asia/Shanghai]","0.0","50.53"
"Voucher entries","Voucher entry with tax rate rounded","ERROR","2023-07-12T12:30:40.338+08:00[Asia/Shanghai]","0.0","302.26"
"Voucher entries","Voucher matching","ERROR","2023-07-12T12:35:43.294+08:00[Asia/Shanghai]","0.0","57.88"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-07-12T12:36:41.87+08:00[Asia/Shanghai]","0.0","166.0"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-07-12T12:44:52.71+08:00[Asia/Shanghai]","0.0","53.11"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-07-12T12:48:01+08:00[Asia/Shanghai]","0.0","53.27"
