"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","SUCCESS","2023-07-12T12:49:13.931+08:00[Asia/Shanghai]","0.0","64.2"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-07-12T12:50:18.998+08:00[Asia/Shanghai]","0.0","46.57"
"Batch posting","Batch posting voiding process","SUCCESS","2023-07-12T12:51:06.464+08:00[Asia/Shanghai]","0.0","129.73"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-07-12T12:53:16.887+08:00[Asia/Shanghai]","0.0","115.85"
"General ledger entries","Create general ledger entry","SUCCESS","2023-07-12T12:56:29.08+08:00[Asia/Shanghai]","0.0","113.35"
"Inquiry and reports","Order inquiry and update","SUCCESS","2023-07-12T12:58:24.253+08:00[Asia/Shanghai]","0.0","68.0"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-07-12T12:59:33.231+08:00[Asia/Shanghai]","0.0","83.29"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-07-12T13:00:57.462+08:00[Asia/Shanghai]","0.0","45.52"
"Salary advance","Create salary advance entry","SUCCESS","2023-07-12T13:01:44.111+08:00[Asia/Shanghai]","0.0","90.79"
"Working advance","Create working advance entry","SUCCESS","2023-07-12T13:03:15.805+08:00[Asia/Shanghai]","0.0","86.7"
