"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-07-12T09:40:04.022+08:00[Asia/Shanghai]","0.0","38.85"
"Payments","Application of prepayment full","FAILURE","2023-07-12T09:50:14.314+08:00[Asia/Shanghai]","0.0","400.37"
"Payments","Application of prepayment partial","FAILURE","2023-07-12T10:11:54.655+08:00[Asia/Shanghai]","0.0","398.66"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-07-12T11:31:44.839+08:00[Asia/Shanghai]","0.0","43.38"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-07-12T11:35:33.817+08:00[Asia/Shanghai]","0.0","55.54"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-07-12T11:36:30.041+08:00[Asia/Shanghai]","0.0","56.26"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-07-12T11:37:26.97+08:00[Asia/Shanghai]","0.0","51.73"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-07-12T11:38:19.387+08:00[Asia/Shanghai]","0.0","53.47"
"Voucher entries","Release retention full","FAILURE","2023-07-12T11:40:34.078+08:00[Asia/Shanghai]","0.0","51.18"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-07-12T12:36:41.87+08:00[Asia/Shanghai]","0.0","166.0"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-07-12T12:55:14.476+08:00[Asia/Shanghai]","0.0","73.91"
