"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2024-08-20T18:07:43.814+08:00[Asia/Shanghai]","0.0","44.55"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-08-20T18:10:41.983+08:00[Asia/Shanghai]","0.0","58.51"
"Voucher entries","Search and post PV","ERROR","2024-08-20T18:17:52.596+08:00[Asia/Shanghai]","0.0","53.67"
"Voucher entries","Voucher match with tax","ERROR","2024-08-20T18:21:28.918+08:00[Asia/Shanghai]","0.0","50.38"
"Voucher entries","Partial voucher match","ERROR","2024-08-20T18:22:20.051+08:00[Asia/Shanghai]","0.0","44.68"
"Voucher entries","Voucher match with retention","ERROR","2024-08-20T18:23:05.473+08:00[Asia/Shanghai]","0.0","51.04"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-08-20T18:23:57.251+08:00[Asia/Shanghai]","0.0","104.43"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-08-20T18:25:42.439+08:00[Asia/Shanghai]","0.0","52.28"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-08-20T18:26:35.485+08:00[Asia/Shanghai]","0.0","54.83"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-08-20T18:32:28.496+08:00[Asia/Shanghai]","0.0","56.22"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-08-20T18:34:42.095+08:00[Asia/Shanghai]","0.0","205.52"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-08-20T18:38:08.392+08:00[Asia/Shanghai]","0.0","47.51"
"Voucher entries","Partial voucher match with retention","ERROR","2024-08-20T18:38:56.686+08:00[Asia/Shanghai]","0.0","54.18"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-08-20T18:39:51.629+08:00[Asia/Shanghai]","0.0","53.95"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-08-20T18:40:46.34+08:00[Asia/Shanghai]","0.0","234.05"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-08-20T18:44:41.208+08:00[Asia/Shanghai]","0.0","56.12"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-08-20T18:45:38.065+08:00[Asia/Shanghai]","0.0","50.25"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-08-20T18:46:29.075+08:00[Asia/Shanghai]","0.0","59.4"
"Voucher entries","Simple voucher match","ERROR","2024-08-20T18:47:29.219+08:00[Asia/Shanghai]","0.0","49.43"
"Voucher entries","Release retention partial","FAILURE","2024-08-20T18:48:19.401+08:00[Asia/Shanghai]","0.0","52.32"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-08-20T18:49:12.571+08:00[Asia/Shanghai]","0.0","56.72"
"Voucher entries","Voucher matching","ERROR","2024-08-20T18:53:01.253+08:00[Asia/Shanghai]","0.0","51.16"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-08-20T18:53:53.187+08:00[Asia/Shanghai]","0.0","231.36"
"Voucher entries","Release retention adding a line","FAILURE","2024-08-20T18:59:55.988+08:00[Asia/Shanghai]","0.0","48.01"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-08-20T19:00:44.743+08:00[Asia/Shanghai]","0.0","54.59"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-08-20T19:03:55.624+08:00[Asia/Shanghai]","0.0","61.06"
