"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-08-20T16:42:35.947+08:00[Asia/Shanghai]","0.0","52.76"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-08-20T17:07:12.911+08:00[Asia/Shanghai]","0.0","159.51"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-08-20T17:15:08.852+08:00[Asia/Shanghai]","0.0","106.77"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-08-20T17:29:48.561+08:00[Asia/Shanghai]","0.0","130.25"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-08-20T17:36:41.411+08:00[Asia/Shanghai]","0.0","129.55"
"Review AP entries","Search payment","SUCCESS","2024-08-20T17:38:51.767+08:00[Asia/Shanghai]","0.0","34.69"
"Review AP entries","Delete voucher AP entry","SUCCESS","2024-08-20T17:49:13.266+08:00[Asia/Shanghai]","0.0","135.99"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2024-08-20T17:51:30.056+08:00[Asia/Shanghai]","0.0","196.18"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2024-08-20T18:01:30.219+08:00[Asia/Shanghai]","0.0","92.72"
"Unbilled PO receipts","Unbilled POCUPR simple","SUCCESS","2024-08-20T18:06:34.553+08:00[Asia/Shanghai]","0.0","67.99"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-08-20T18:08:29.122+08:00[Asia/Shanghai]","0.0","132.09"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-08-20T18:11:41.268+08:00[Asia/Shanghai]","0.0","173.81"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-08-20T18:14:35.839+08:00[Asia/Shanghai]","0.0","195.92"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-08-20T18:18:47.078+08:00[Asia/Shanghai]","0.0","161.12"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-08-20T18:27:31.081+08:00[Asia/Shanghai]","0.0","296.62"
"Voucher entries","Simple prepayment","SUCCESS","2024-08-20T18:33:25.5+08:00[Asia/Shanghai]","0.0","75.73"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-08-20T18:50:10.039+08:00[Asia/Shanghai]","0.0","170.41"
"Voucher entries","Creating voucher entry","SUCCESS","2024-08-20T18:57:45.341+08:00[Asia/Shanghai]","0.0","129.85"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-08-20T19:01:40.098+08:00[Asia/Shanghai]","0.0","134.66"
"Account recon","Refresh accounts","SUCCESS","2024-08-20T19:05:02.823+08:00[Asia/Shanghai]","0.0","54.08"
