"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-08-20T16:43:37.313+08:00[Asia/Shanghai]","0.0","41.86"
"Manage bank account","Edit a bank account","FAILURE","2024-08-20T16:44:20.002+08:00[Asia/Shanghai]","0.0","42.59"
"Manage bank account","Search a bank account","FAILURE","2024-08-20T16:45:03.381+08:00[Asia/Shanghai]","0.0","41.82"
"Manage bank account","Activate a bank account","FAILURE","2024-08-20T16:45:45.986+08:00[Asia/Shanghai]","0.0","40.75"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-08-20T16:46:27.487+08:00[Asia/Shanghai]","0.0","41.86"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-08-20T17:41:05.697+08:00[Asia/Shanghai]","0.0","124.66"
"Review AP entries","Print payment form","FAILURE","2024-08-20T17:43:11.157+08:00[Asia/Shanghai]","0.0","70.16"
"Supplier creation","View a supplier","FAILURE","2024-08-20T17:57:27.301+08:00[Asia/Shanghai]","0.0","40.59"
"Supplier creation","Edit a supplier","FAILURE","2024-08-20T17:58:08.654+08:00[Asia/Shanghai]","0.0","45.08"
"Supplier creation","Payment terms update","FAILURE","2024-08-20T17:58:54.525+08:00[Asia/Shanghai]","0.0","34.79"
"Supplier creation","Search a supplier","FAILURE","2024-08-20T17:59:30.118+08:00[Asia/Shanghai]","0.0","40.32"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-08-20T18:00:11.208+08:00[Asia/Shanghai]","0.0","34.97"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-08-20T18:00:46.988+08:00[Asia/Shanghai]","0.0","42.24"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-08-20T18:03:03.722+08:00[Asia/Shanghai]","0.0","57.01"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-08-20T18:04:01.548+08:00[Asia/Shanghai]","0.0","42.34"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-08-20T18:04:44.666+08:00[Asia/Shanghai]","0.0","54.63"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-08-20T18:05:40.032+08:00[Asia/Shanghai]","0.0","53.77"
"Voucher entries","Release retention full","FAILURE","2024-08-20T18:07:43.814+08:00[Asia/Shanghai]","0.0","44.55"
"Voucher entries","Release retention partial","FAILURE","2024-08-20T18:48:19.401+08:00[Asia/Shanghai]","0.0","52.32"
"Voucher entries","Release retention adding a line","FAILURE","2024-08-20T18:59:55.988+08:00[Asia/Shanghai]","0.0","48.01"
