"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-08-20T16:43:37.313+08:00[Asia/Shanghai]","0.0","41.86"
"Manage bank account","Edit a bank account","FAILURE","2024-08-20T16:44:20.002+08:00[Asia/Shanghai]","0.0","42.59"
"Manage bank account","Search a bank account","FAILURE","2024-08-20T16:45:03.381+08:00[Asia/Shanghai]","0.0","41.82"
"Manage bank account","Activate a bank account","FAILURE","2024-08-20T16:45:45.986+08:00[Asia/Shanghai]","0.0","40.75"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-08-20T16:46:27.487+08:00[Asia/Shanghai]","0.0","41.86"
"Payments","Manual payment partial","ERROR","2024-08-20T16:47:10.733+08:00[Asia/Shanghai]","0.0","158.79"
"Payments","Manual payment with multiple documents","ERROR","2024-08-20T16:49:50.979+08:00[Asia/Shanghai]","0.0","259.03"
"Payments","Application of prepayment full","ERROR","2024-08-20T16:54:10.823+08:00[Asia/Shanghai]","0.0","129.51"
"Payments","Manual payment with negative amount","ERROR","2024-08-20T16:56:21.17+08:00[Asia/Shanghai]","0.0","187.15"
"Payments","Manual payment with zero payments","ERROR","2024-08-20T16:59:29.165+08:00[Asia/Shanghai]","0.0","341.84"
"Payments","Manual payment full","ERROR","2024-08-20T17:05:11.786+08:00[Asia/Shanghai]","0.0","76.14"
"Payments","Application of prepayment partial","ERROR","2024-08-20T17:06:28.715+08:00[Asia/Shanghai]","0.0","40.2"
"Pre registration","Pre logging multi docs","ERROR","2024-08-20T17:09:53.223+08:00[Asia/Shanghai]","0.0","135.68"
"Pre registration","Pre logging","ERROR","2024-08-20T17:12:09.678+08:00[Asia/Shanghai]","0.0","33.48"
"Pre registration","Pre logging with tax rate rounded","ERROR","2024-08-20T17:12:43.901+08:00[Asia/Shanghai]","0.0","33.47"
"Pre registration","Pre logging simple","ERROR","2024-08-20T17:13:18.142+08:00[Asia/Shanghai]","0.0","37.29"
"Pre registration","Pre logging with tax rate","ERROR","2024-08-20T17:13:56.17+08:00[Asia/Shanghai]","0.0","27.83"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-08-20T17:14:26.155+08:00[Asia/Shanghai]","0.0","41.96"
"Redistribution","Voucher match with tolerance","ERROR","2024-08-20T17:16:56.403+08:00[Asia/Shanghai]","0.0","108.99"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-08-20T17:18:46.896+08:00[Asia/Shanghai]","0.0","299.9"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-08-20T17:23:47.584+08:00[Asia/Shanghai]","0.0","198.67"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-08-20T17:27:07.042+08:00[Asia/Shanghai]","0.0","160.61"
"Review AP entries","Create voucher entry and edit","ERROR","2024-08-20T17:31:59.67+08:00[Asia/Shanghai]","0.0","142.9"
"Review AP entries","Edit AP entries","ERROR","2024-08-20T17:34:23.353+08:00[Asia/Shanghai]","0.0","137.25"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-08-20T17:39:27.22+08:00[Asia/Shanghai]","0.0","97.71"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-08-20T17:41:05.697+08:00[Asia/Shanghai]","0.0","124.66"
"Review AP entries","Print payment form","FAILURE","2024-08-20T17:43:11.157+08:00[Asia/Shanghai]","0.0","70.16"
