"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-08-20T19:05:57.933+08:00[Asia/Shanghai]","0.0","158.71"
"Batch posting","Batch posting voiding process","ERROR","2024-08-20T19:08:37.627+08:00[Asia/Shanghai]","0.0","72.08"
"Batch posting","Batch posting general ledger entry","ERROR","2024-08-20T19:09:50.487+08:00[Asia/Shanghai]","0.0","61.34"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-08-20T19:10:52.829+08:00[Asia/Shanghai]","0.0","178.79"
"General ledger entries","Create general ledger entry","ERROR","2024-08-20T19:13:52.435+08:00[Asia/Shanghai]","0.0","87.07"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-08-20T19:15:20.68+08:00[Asia/Shanghai]","0.0","44.27"
"Internal transfer","Create internal transfer entry","ERROR","2024-08-20T19:16:05.875+08:00[Asia/Shanghai]","0.0","163.11"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-08-20T19:18:49.861+08:00[Asia/Shanghai]","0.0","157.63"
"Salary advance","Create salary advance entry","ERROR","2024-08-20T19:21:28.439+08:00[Asia/Shanghai]","0.0","58.61"
"Working advance","Create working advance entry","ERROR","2024-08-20T19:22:27.873+08:00[Asia/Shanghai]","0.0","59.13"
