"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment partial","ERROR","2024-08-21T08:13:47.617+08:00[Asia/Shanghai]","0.0","179.56"
"Payments","Manual payment with multiple documents","ERROR","2024-08-21T08:16:48.073+08:00[Asia/Shanghai]","0.0","259.05"
"Payments","Application of prepayment full","ERROR","2024-08-21T08:21:07.971+08:00[Asia/Shanghai]","0.0","105.88"
"Payments","Manual payment with negative amount","ERROR","2024-08-21T08:22:54.61+08:00[Asia/Shanghai]","0.0","178.33"
"Payments","Manual payment with zero payments","ERROR","2024-08-21T08:25:53.715+08:00[Asia/Shanghai]","0.0","323.23"
"Payments","Manual payment full","ERROR","2024-08-21T08:31:17.712+08:00[Asia/Shanghai]","0.0","174.75"
"Payments","Application of prepayment partial","ERROR","2024-08-21T08:34:13.229+08:00[Asia/Shanghai]","0.0","79.7"
"Pre registration","Pre logging multi docs","ERROR","2024-08-21T08:37:50.839+08:00[Asia/Shanghai]","0.0","132.17"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-08-21T08:45:51.357+08:00[Asia/Shanghai]","0.0","40.41"
"Redistribution","Voucher match with tolerance","ERROR","2024-08-21T08:48:19.356+08:00[Asia/Shanghai]","0.0","108.87"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-08-21T08:50:09.793+08:00[Asia/Shanghai]","0.0","241.65"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-08-21T08:54:12.408+08:00[Asia/Shanghai]","0.0","192.47"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-08-21T08:57:25.624+08:00[Asia/Shanghai]","0.0","152.41"
"Review AP entries","Create voucher entry and edit","ERROR","2024-08-21T09:02:02.113+08:00[Asia/Shanghai]","0.0","140.78"
"Review AP entries","Edit AP entries","ERROR","2024-08-21T09:04:23.698+08:00[Asia/Shanghai]","0.0","140.02"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-08-21T09:09:23.218+08:00[Asia/Shanghai]","0.0","108.26"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-08-21T09:14:36.626+08:00[Asia/Shanghai]","0.0","193.56"
"Review AP entries","Payment information","ERROR","2024-08-21T09:17:50.955+08:00[Asia/Shanghai]","0.0","91.21"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-08-21T09:24:49.743+08:00[Asia/Shanghai]","0.0","141.1"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-08-21T09:40:19.396+08:00[Asia/Shanghai]","0.0","49.8"
"Voucher entries","Search and post PV","ERROR","2024-08-21T09:47:23.716+08:00[Asia/Shanghai]","0.0","52.11"
"Voucher entries","Voucher match with tax","ERROR","2024-08-21T09:50:58.663+08:00[Asia/Shanghai]","0.0","48.49"
"Voucher entries","Partial voucher match","ERROR","2024-08-21T09:51:47.949+08:00[Asia/Shanghai]","0.0","48.82"
"Voucher entries","Voucher match with retention","ERROR","2024-08-21T09:52:37.483+08:00[Asia/Shanghai]","0.0","50.31"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-08-21T09:53:28.513+08:00[Asia/Shanghai]","0.0","103.75"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-08-21T09:55:13.008+08:00[Asia/Shanghai]","0.0","54.25"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-08-21T09:56:08.014+08:00[Asia/Shanghai]","0.0","53.46"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-08-21T10:01:53.385+08:00[Asia/Shanghai]","0.0","46.56"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-08-21T10:03:53.16+08:00[Asia/Shanghai]","0.0","199.3"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-08-21T10:07:13.247+08:00[Asia/Shanghai]","0.0","49.36"
"Voucher entries","Partial voucher match with retention","ERROR","2024-08-21T10:08:03.331+08:00[Asia/Shanghai]","0.0","55.76"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-08-21T10:08:59.82+08:00[Asia/Shanghai]","0.0","51.65"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-08-21T10:09:52.188+08:00[Asia/Shanghai]","0.0","232.73"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-08-21T10:13:45.689+08:00[Asia/Shanghai]","0.0","49.08"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-08-21T10:14:35.516+08:00[Asia/Shanghai]","0.0","52.29"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-08-21T10:15:28.567+08:00[Asia/Shanghai]","0.0","49.47"
"Voucher entries","Simple voucher match","ERROR","2024-08-21T10:16:18.8+08:00[Asia/Shanghai]","0.0","52.95"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-08-21T10:18:07.191+08:00[Asia/Shanghai]","0.0","53.58"
"Voucher entries","Voucher matching","ERROR","2024-08-21T10:21:31.068+08:00[Asia/Shanghai]","0.0","47.29"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-08-21T10:22:19.094+08:00[Asia/Shanghai]","0.0","227.16"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-08-21T10:28:57.971+08:00[Asia/Shanghai]","0.0","53.95"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-08-21T10:32:04.531+08:00[Asia/Shanghai]","0.0","50.75"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-08-21T10:33:55.786+08:00[Asia/Shanghai]","0.0","152.88"
"Batch posting","Batch posting voiding process","ERROR","2024-08-21T10:36:29.53+08:00[Asia/Shanghai]","0.0","70.99"
"Batch posting","Batch posting general ledger entry","ERROR","2024-08-21T10:37:41.316+08:00[Asia/Shanghai]","0.0","66.86"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-08-21T10:38:49.203+08:00[Asia/Shanghai]","0.0","174.23"
"General ledger entries","Create general ledger entry","ERROR","2024-08-21T10:41:44.225+08:00[Asia/Shanghai]","0.0","80.78"
"Internal transfer","Create internal transfer entry","ERROR","2024-08-21T10:43:47.524+08:00[Asia/Shanghai]","0.0","158.3"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-08-21T10:46:26.706+08:00[Asia/Shanghai]","0.0","158.13"
"Salary advance","Create salary advance entry","ERROR","2024-08-21T10:49:05.722+08:00[Asia/Shanghai]","0.0","60.11"
"Working advance","Create working advance entry","ERROR","2024-08-21T10:50:06.681+08:00[Asia/Shanghai]","0.0","57.01"
