"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2024-08-22T13:23:56.889+08:00[Asia/Shanghai]","0.0","44.85"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-08-22T13:26:47.646+08:00[Asia/Shanghai]","0.0","51.73"
"Voucher entries","Search and post PV","ERROR","2024-08-22T13:33:46.216+08:00[Asia/Shanghai]","0.0","47.82"
"Voucher entries","Voucher match with tax","ERROR","2024-08-22T13:37:19.538+08:00[Asia/Shanghai]","0.0","43.66"
"Voucher entries","Partial voucher match","ERROR","2024-08-22T13:38:03.903+08:00[Asia/Shanghai]","0.0","46.23"
"Voucher entries","Voucher match with retention","ERROR","2024-08-22T13:38:50.852+08:00[Asia/Shanghai]","0.0","49.31"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-08-22T13:39:40.896+08:00[Asia/Shanghai]","0.0","103.16"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-08-22T13:41:24.766+08:00[Asia/Shanghai]","0.0","54.62"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-08-22T13:42:20.118+08:00[Asia/Shanghai]","0.0","51.54"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-08-22T13:48:02.56+08:00[Asia/Shanghai]","0.0","54.03"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-08-22T13:50:07.242+08:00[Asia/Shanghai]","0.0","211.75"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-08-22T13:53:39.792+08:00[Asia/Shanghai]","0.0","52.75"
"Voucher entries","Partial voucher match with retention","ERROR","2024-08-22T13:54:33.286+08:00[Asia/Shanghai]","0.0","56.21"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-08-22T13:55:30.249+08:00[Asia/Shanghai]","0.0","51.16"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-08-22T13:56:22.225+08:00[Asia/Shanghai]","0.0","237.21"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-08-22T14:00:20.18+08:00[Asia/Shanghai]","0.0","50.93"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-08-22T14:01:11.844+08:00[Asia/Shanghai]","0.0","56.42"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-08-22T14:02:09.018+08:00[Asia/Shanghai]","0.0","56.0"
"Voucher entries","Simple voucher match","ERROR","2024-08-22T14:03:05.8+08:00[Asia/Shanghai]","0.0","51.55"
"Voucher entries","Release retention partial","FAILURE","2024-08-22T14:03:58.1+08:00[Asia/Shanghai]","0.0","50.17"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-08-22T14:04:49.011+08:00[Asia/Shanghai]","0.0","50.27"
"Voucher entries","Voucher matching","ERROR","2024-08-22T14:08:09.793+08:00[Asia/Shanghai]","0.0","54.87"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-08-22T14:09:05.44+08:00[Asia/Shanghai]","0.0","232.11"
"Voucher entries","Release retention adding a line","FAILURE","2024-08-22T14:15:17.073+08:00[Asia/Shanghai]","0.0","57.1"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-08-22T14:16:15.011+08:00[Asia/Shanghai]","0.0","66.09"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-08-22T14:19:59.142+08:00[Asia/Shanghai]","0.0","56.85"
