"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-09-02T17:48:35.327+08:00[Asia/Shanghai]","0.0","42.62"
"Manage bank account","Edit a bank account","FAILURE","2024-09-02T17:49:19.146+08:00[Asia/Shanghai]","0.0","35.06"
"Manage bank account","Search a bank account","FAILURE","2024-09-02T17:49:55.24+08:00[Asia/Shanghai]","0.0","38.33"
"Manage bank account","Activate a bank account","FAILURE","2024-09-02T17:50:34.609+08:00[Asia/Shanghai]","0.0","39.6"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-09-02T17:51:15.218+08:00[Asia/Shanghai]","0.0","52.26"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-09-02T18:51:01.603+08:00[Asia/Shanghai]","0.0","151.25"
"Supplier creation","View a supplier","FAILURE","2024-09-02T19:08:49.048+08:00[Asia/Shanghai]","0.0","43.67"
"Supplier creation","Edit a supplier","FAILURE","2024-09-02T19:09:33.766+08:00[Asia/Shanghai]","0.0","43.9"
"Supplier creation","Payment terms update","FAILURE","2024-09-02T19:10:18.835+08:00[Asia/Shanghai]","0.0","45.02"
"Supplier creation","Search a supplier","FAILURE","2024-09-02T19:11:05.021+08:00[Asia/Shanghai]","0.0","43.06"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-09-02T19:11:49.122+08:00[Asia/Shanghai]","0.0","38.2"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-09-02T19:12:28.407+08:00[Asia/Shanghai]","0.0","43.31"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-09-02T19:14:55.067+08:00[Asia/Shanghai]","0.0","58.82"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-09-02T19:15:54.887+08:00[Asia/Shanghai]","0.0","49.89"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-09-02T19:16:45.797+08:00[Asia/Shanghai]","0.0","50.16"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-09-02T19:17:37.01+08:00[Asia/Shanghai]","0.0","50.28"
"Voucher entries","Release retention full","FAILURE","2024-09-02T19:19:51.379+08:00[Asia/Shanghai]","0.0","50.83"
"Voucher entries","Release retention partial","FAILURE","2024-09-02T20:02:12.767+08:00[Asia/Shanghai]","0.0","53.34"
"Voucher entries","Release retention adding a line","FAILURE","2024-09-02T20:14:10.731+08:00[Asia/Shanghai]","0.0","56.23"
