"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-09-02T17:47:20.609+08:00[Asia/Shanghai]","0.0","70.44"
"Manage bank account","Add a bank account","FAILURE","2024-09-02T17:48:35.327+08:00[Asia/Shanghai]","0.0","42.62"
"Manage bank account","Edit a bank account","FAILURE","2024-09-02T17:49:19.146+08:00[Asia/Shanghai]","0.0","35.06"
"Manage bank account","Search a bank account","FAILURE","2024-09-02T17:49:55.24+08:00[Asia/Shanghai]","0.0","38.33"
"Manage bank account","Activate a bank account","FAILURE","2024-09-02T17:50:34.609+08:00[Asia/Shanghai]","0.0","39.6"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-09-02T17:51:15.218+08:00[Asia/Shanghai]","0.0","52.26"
"Payments","Manual payment partial","ERROR","2024-09-02T17:52:09.066+08:00[Asia/Shanghai]","0.0","182.72"
"Payments","Manual payment with multiple documents","ERROR","2024-09-02T17:55:12.744+08:00[Asia/Shanghai]","0.0","258.41"
"Payments","Application of prepayment full","ERROR","2024-09-02T17:59:32.111+08:00[Asia/Shanghai]","0.0","113.16"
"Payments","Manual payment with negative amount","ERROR","2024-09-02T18:01:26.213+08:00[Asia/Shanghai]","0.0","196.09"
"Payments","Manual payment with zero payments","ERROR","2024-09-02T18:04:43.283+08:00[Asia/Shanghai]","0.0","253.1"
"Payments","Manual payment full","ERROR","2024-09-02T18:08:57.354+08:00[Asia/Shanghai]","0.0","194.72"
"Payments","Application of prepayment partial","ERROR","2024-09-02T18:12:13.028+08:00[Asia/Shanghai]","0.0","88.58"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-09-02T18:13:44.439+08:00[Asia/Shanghai]","0.0","163.65"
"Pre registration","Pre logging multi docs","ERROR","2024-09-02T18:16:29.114+08:00[Asia/Shanghai]","0.0","141.87"
"Pre registration","Pre logging","SUCCESS","2024-09-02T18:18:51.923+08:00[Asia/Shanghai]","0.0","105.18"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-09-02T18:20:38.136+08:00[Asia/Shanghai]","0.0","106.35"
"Pre registration","Pre logging simple","SUCCESS","2024-09-02T18:22:25.427+08:00[Asia/Shanghai]","0.0","64.25"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-09-02T18:23:30.744+08:00[Asia/Shanghai]","0.0","104.42"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-09-02T18:25:17.262+08:00[Asia/Shanghai]","0.0","47.49"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-09-02T18:26:05.738+08:00[Asia/Shanghai]","0.0","107.87"
"Redistribution","Voucher match with tolerance","ERROR","2024-09-02T18:27:54.554+08:00[Asia/Shanghai]","0.0","74.21"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-09-02T18:29:10.369+08:00[Asia/Shanghai]","0.0","220.37"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-09-02T18:32:51.722+08:00[Asia/Shanghai]","0.0","194.62"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-09-02T18:36:07.317+08:00[Asia/Shanghai]","0.0","172.94"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-09-02T18:39:01.233+08:00[Asia/Shanghai]","0.0","130.44"
"Review AP entries","Create voucher entry and edit","ERROR","2024-09-02T18:41:12.596+08:00[Asia/Shanghai]","0.0","152.15"
"Review AP entries","Edit AP entries","ERROR","2024-09-02T18:43:45.729+08:00[Asia/Shanghai]","0.0","146.84"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-09-02T18:46:13.559+08:00[Asia/Shanghai]","0.0","138.97"
"Review AP entries","Search payment","SUCCESS","2024-09-02T18:48:33.483+08:00[Asia/Shanghai]","0.0","35.12"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-09-02T18:49:10.192+08:00[Asia/Shanghai]","0.0","110.44"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-09-02T18:51:01.603+08:00[Asia/Shanghai]","0.0","151.25"
"Review AP entries","Print payment form","SUCCESS","2024-09-02T18:53:33.891+08:00[Asia/Shanghai]","0.0","77.39"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-09-02T18:54:52.26+08:00[Asia/Shanghai]","0.0","201.48"
"Review AP entries","Payment information","ERROR","2024-09-02T18:58:14.715+08:00[Asia/Shanghai]","0.0","86.14"
"Review AP entries","Delete voucher AP entry","SUCCESS","2024-09-02T18:59:41.853+08:00[Asia/Shanghai]","0.0","141.97"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2024-09-02T19:02:04.799+08:00[Asia/Shanghai]","0.0","227.94"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-09-02T19:05:53.702+08:00[Asia/Shanghai]","0.0","169.83"
"Supplier creation","View a supplier","FAILURE","2024-09-02T19:08:49.048+08:00[Asia/Shanghai]","0.0","43.67"
"Supplier creation","Edit a supplier","FAILURE","2024-09-02T19:09:33.766+08:00[Asia/Shanghai]","0.0","43.9"
"Supplier creation","Payment terms update","FAILURE","2024-09-02T19:10:18.835+08:00[Asia/Shanghai]","0.0","45.02"
"Supplier creation","Search a supplier","FAILURE","2024-09-02T19:11:05.021+08:00[Asia/Shanghai]","0.0","43.06"
