"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-09-03T13:27:59.893+08:00[Asia/Shanghai]","0.0","234.52"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-09-03T13:31:55.45+08:00[Asia/Shanghai]","0.0","216.3"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-09-03T13:35:32.718+08:00[Asia/Shanghai]","0.0","165.19"
"Review AP entries","Create voucher entry and edit","ERROR","2024-09-03T13:40:46.488+08:00[Asia/Shanghai]","0.0","157.55"
"Review AP entries","Edit AP entries","ERROR","2024-09-03T13:43:25.05+08:00[Asia/Shanghai]","0.0","170.85"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-09-03T13:49:33.267+08:00[Asia/Shanghai]","0.0","158.58"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-09-03T13:52:12.852+08:00[Asia/Shanghai]","0.0","143.77"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-09-03T13:56:08.886+08:00[Asia/Shanghai]","0.0","226.52"
"Review AP entries","Payment information","ERROR","2024-09-03T13:59:56.411+08:00[Asia/Shanghai]","0.0","104.69"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-09-03T14:08:51.816+08:00[Asia/Shanghai]","0.0","193.18"
