"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-09-03T15:34:51.898+08:00[Asia/Shanghai]","0.0","166.57"
"Batch posting","Batch posting voiding process","ERROR","2024-09-03T15:37:39.689+08:00[Asia/Shanghai]","0.0","96.2"
"Batch posting","Batch posting general ledger entry","ERROR","2024-09-03T15:39:17.111+08:00[Asia/Shanghai]","0.0","83.15"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-09-03T15:40:41.695+08:00[Asia/Shanghai]","0.0","192.92"
"General ledger entries","Create general ledger entry","ERROR","2024-09-03T15:43:55.81+08:00[Asia/Shanghai]","0.0","119.71"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-09-03T15:45:57.323+08:00[Asia/Shanghai]","0.0","42.82"
"Internal transfer","Create internal transfer entry","ERROR","2024-09-03T15:46:41.392+08:00[Asia/Shanghai]","0.0","175.07"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-09-03T15:49:37.683+08:00[Asia/Shanghai]","0.0","193.21"
"Salary advance","Create salary advance entry","ERROR","2024-09-03T15:52:52.158+08:00[Asia/Shanghai]","0.0","70.97"
"Working advance","Create working advance entry","ERROR","2024-09-03T15:54:04.377+08:00[Asia/Shanghai]","0.0","91.94"
