"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2024-09-05T10:18:12.09+08:00[Asia/Shanghai]","0.0","70.31"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-09-05T10:22:02.179+08:00[Asia/Shanghai]","0.0","58.09"
"Voucher entries","Search and post PV","ERROR","2024-09-05T10:30:10.202+08:00[Asia/Shanghai]","0.0","57.36"
"Voucher entries","Voucher match with tax","ERROR","2024-09-05T10:34:05.786+08:00[Asia/Shanghai]","0.0","60.8"
"Voucher entries","Partial voucher match","ERROR","2024-09-05T10:35:07.56+08:00[Asia/Shanghai]","0.0","59.98"
"Voucher entries","Voucher match with retention","ERROR","2024-09-05T10:36:08.538+08:00[Asia/Shanghai]","0.0","82.23"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-09-05T10:37:31.797+08:00[Asia/Shanghai]","0.0","112.9"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-09-05T10:39:25.711+08:00[Asia/Shanghai]","0.0","58.69"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-09-05T10:40:25.379+08:00[Asia/Shanghai]","0.0","57.22"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-09-05T10:46:50.403+08:00[Asia/Shanghai]","0.0","60.92"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-09-05T10:49:08.802+08:00[Asia/Shanghai]","0.0","270.48"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-09-05T10:53:40.254+08:00[Asia/Shanghai]","0.0","87.35"
"Voucher entries","Partial voucher match with retention","ERROR","2024-09-05T10:55:08.588+08:00[Asia/Shanghai]","0.0","55.78"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-09-05T10:56:05.341+08:00[Asia/Shanghai]","0.0","54.71"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-09-05T10:57:01.102+08:00[Asia/Shanghai]","0.0","252.07"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-09-05T11:01:14.165+08:00[Asia/Shanghai]","0.0","61.71"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-09-05T11:02:16.87+08:00[Asia/Shanghai]","0.0","79.39"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-09-05T11:03:37.289+08:00[Asia/Shanghai]","0.0","59.18"
"Voucher entries","Simple voucher match","ERROR","2024-09-05T11:04:37.441+08:00[Asia/Shanghai]","0.0","53.42"
"Voucher entries","Release retention partial","FAILURE","2024-09-05T11:05:31.849+08:00[Asia/Shanghai]","0.0","58.35"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-09-05T11:06:31.221+08:00[Asia/Shanghai]","0.0","56.64"
"Voucher entries","Voucher matching","ERROR","2024-09-05T11:10:26.55+08:00[Asia/Shanghai]","0.0","57.74"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-09-05T11:11:25.274+08:00[Asia/Shanghai]","0.0","245.74"
"Voucher entries","Release retention adding a line","FAILURE","2024-09-05T11:17:54.977+08:00[Asia/Shanghai]","0.0","55.42"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-09-05T11:18:51.349+08:00[Asia/Shanghai]","0.0","76.61"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-09-05T11:22:46.901+08:00[Asia/Shanghai]","0.0","103.83"
