"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-11-06T08:02:42.603+08:00[Asia/Shanghai]","0.0","80.64"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-11-06T08:36:32.36+08:00[Asia/Shanghai]","0.0","188.02"
"Pre registration","Pre logging","SUCCESS","2024-11-06T08:42:35.144+08:00[Asia/Shanghai]","0.0","120.39"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-11-06T08:44:36.516+08:00[Asia/Shanghai]","0.0","138.86"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-11-06T08:49:38.761+08:00[Asia/Shanghai]","0.0","145.12"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2024-11-06T08:52:06.122+08:00[Asia/Shanghai]","0.0","142.53"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-11-06T08:54:29.583+08:00[Asia/Shanghai]","0.0","118.39"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2024-11-06T09:02:23.763+08:00[Asia/Shanghai]","0.0","306.36"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-11-06T09:17:55.06+08:00[Asia/Shanghai]","0.0","157.08"
"Review AP entries","Search payment","SUCCESS","2024-11-06T09:20:33.047+08:00[Asia/Shanghai]","0.0","42.51"
"Review AP entries","Print payment form","SUCCESS","2024-11-06T09:25:28.378+08:00[Asia/Shanghai]","0.0","85.02"
"Review AP entries","Payment information","SUCCESS","2024-11-06T09:30:31.672+08:00[Asia/Shanghai]","0.0","108.84"
"Review AP entries","Delete voucher AP entry","SUCCESS","2024-11-06T09:32:21.471+08:00[Asia/Shanghai]","0.0","162.11"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2024-11-06T09:46:22.875+08:00[Asia/Shanghai]","0.0","102.65"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-11-06T09:54:57.894+08:00[Asia/Shanghai]","0.0","181.66"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-11-06T09:59:39.955+08:00[Asia/Shanghai]","0.0","204.49"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-11-06T10:03:05.396+08:00[Asia/Shanghai]","0.0","224.44"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-11-06T10:08:04.178+08:00[Asia/Shanghai]","0.0","200.84"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-11-06T10:19:35.138+08:00[Asia/Shanghai]","0.0","306.2"
"Voucher entries","Simple prepayment","SUCCESS","2024-11-06T10:26:04.757+08:00[Asia/Shanghai]","0.0","77.31"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-11-06T10:45:56.581+08:00[Asia/Shanghai]","0.0","155.32"
"Account recon","Refresh accounts","SUCCESS","2024-11-06T10:49:40.1+08:00[Asia/Shanghai]","0.0","90.78"
"Batch posting","Batch posting voiding process","SUCCESS","2024-11-06T10:53:53.352+08:00[Asia/Shanghai]","0.0","158.25"
"Batch posting","Batch posting general ledger entry","SUCCESS","2024-11-06T10:56:32.589+08:00[Asia/Shanghai]","0.0","141.79"
"General ledger entries","Create general ledger entry","SUCCESS","2024-11-06T11:02:12.002+08:00[Asia/Shanghai]","0.0","128.79"
"Salary advance","Create salary advance entry","SUCCESS","2024-11-06T11:11:21.392+08:00[Asia/Shanghai]","0.0","112.37"
"Working advance","Create working advance entry","SUCCESS","2024-11-06T11:13:16.593+08:00[Asia/Shanghai]","0.0","104.25"
