"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-11-06T08:04:12.429+08:00[Asia/Shanghai]","0.0","74.5"
"Manage bank account","Edit a bank account","FAILURE","2024-11-06T08:05:28.05+08:00[Asia/Shanghai]","0.0","63.28"
"Manage bank account","Search a bank account","FAILURE","2024-11-06T08:06:32.355+08:00[Asia/Shanghai]","0.0","48.58"
"Manage bank account","Activate a bank account","FAILURE","2024-11-06T08:07:21.917+08:00[Asia/Shanghai]","0.0","66.56"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-11-06T08:08:29.5+08:00[Asia/Shanghai]","0.0","57.93"
"Payments","Manual payment partial","ERROR","2024-11-06T08:09:29.254+08:00[Asia/Shanghai]","0.0","258.19"
"Payments","Manual payment with multiple documents","ERROR","2024-11-06T08:13:48.392+08:00[Asia/Shanghai]","0.0","277.68"
"Payments","Application of prepayment full","ERROR","2024-11-06T08:18:27.038+08:00[Asia/Shanghai]","0.0","141.83"
"Payments","Manual payment with negative amount","ERROR","2024-11-06T08:20:49.853+08:00[Asia/Shanghai]","0.0","251.45"
"Payments","Manual payment with zero payments","ERROR","2024-11-06T08:25:02.216+08:00[Asia/Shanghai]","0.0","275.32"
"Payments","Manual payment full","ERROR","2024-11-06T08:29:38.468+08:00[Asia/Shanghai]","0.0","265.15"
"Payments","Application of prepayment partial","ERROR","2024-11-06T08:34:04.49+08:00[Asia/Shanghai]","0.0","145.2"
"Pre registration","Pre logging multi docs","ERROR","2024-11-06T08:39:41.394+08:00[Asia/Shanghai]","0.0","172.8"
"Pre registration","Pre logging simple","ERROR","2024-11-06T08:46:56.339+08:00[Asia/Shanghai]","0.0","161.47"
"Redistribution","Voucher match with tolerance","ERROR","2024-11-06T08:56:28.939+08:00[Asia/Shanghai]","0.0","116.39"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-11-06T08:58:26.959+08:00[Asia/Shanghai]","0.0","235.89"
