"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-11-07T08:07:37.126+08:00[Asia/Shanghai]","0.0","94.03"
"Manage bank account","Edit a bank account","FAILURE","2024-11-07T08:09:12.371+08:00[Asia/Shanghai]","0.0","64.4"
"Manage bank account","Search a bank account","FAILURE","2024-11-07T08:10:17.855+08:00[Asia/Shanghai]","0.0","66.58"
"Manage bank account","Activate a bank account","FAILURE","2024-11-07T08:11:25.457+08:00[Asia/Shanghai]","0.0","68.46"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-11-07T08:12:34.931+08:00[Asia/Shanghai]","0.0","63.61"
"Review AP entries","Print payment form","FAILURE","2024-11-07T09:22:11.037+08:00[Asia/Shanghai]","0.0","152.68"
"Supplier creation","View a supplier","FAILURE","2024-11-07T09:38:38.401+08:00[Asia/Shanghai]","0.0","67.62"
"Supplier creation","Edit a supplier","FAILURE","2024-11-07T09:39:47.091+08:00[Asia/Shanghai]","0.0","64.95"
"Supplier creation","Payment terms update","FAILURE","2024-11-07T09:40:53.036+08:00[Asia/Shanghai]","0.0","68.12"
"Supplier creation","Search a supplier","FAILURE","2024-11-07T09:42:02.161+08:00[Asia/Shanghai]","0.0","70.77"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-11-07T09:43:13.932+08:00[Asia/Shanghai]","0.0","60.55"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-11-07T09:44:15.5+08:00[Asia/Shanghai]","0.0","68.01"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-11-07T09:47:59.675+08:00[Asia/Shanghai]","0.0","73.23"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-11-07T09:49:13.81+08:00[Asia/Shanghai]","0.0","117.36"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-11-07T09:51:12.14+08:00[Asia/Shanghai]","0.0","83.28"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-11-07T09:52:36.41+08:00[Asia/Shanghai]","0.0","89.63"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2024-11-07T09:54:07.049+08:00[Asia/Shanghai]","0.0","97.05"
"Voucher entries","Release retention full","FAILURE","2024-11-07T09:55:45.531+08:00[Asia/Shanghai]","0.0","108.01"
"Voucher entries","Simple prepayment","FAILURE","2024-11-07T10:31:02.984+08:00[Asia/Shanghai]","0.0","76.19"
