"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-11-19T12:53:47.299+08:00[Asia/Shanghai]","0.0","251.35"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-11-19T12:57:59.602+08:00[Asia/Shanghai]","0.0","216.67"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-11-19T13:01:37.22+08:00[Asia/Shanghai]","0.0","171.21"
"Review AP entries","Create voucher entry and edit","ERROR","2024-11-19T13:07:40.022+08:00[Asia/Shanghai]","0.0","214.52"
"Review AP entries","Edit AP entries","ERROR","2024-11-19T13:11:15.533+08:00[Asia/Shanghai]","0.0","156.47"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-11-19T13:17:30.072+08:00[Asia/Shanghai]","0.0","129.3"
"Review AP entries","Check edit button for voucher entry and redistribute GL","ERROR","2024-11-19T13:19:40.318+08:00[Asia/Shanghai]","0.0","86.12"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-11-19T13:23:02.325+08:00[Asia/Shanghai]","0.0","264.9"
"Review AP entries","Payment information","ERROR","2024-11-19T13:27:28.172+08:00[Asia/Shanghai]","0.0","113.67"
"Review AP entries","Delete voucher AP entry","ERROR","2024-11-19T13:29:22.786+08:00[Asia/Shanghai]","0.0","83.96"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-11-19T13:35:21.879+08:00[Asia/Shanghai]","0.0","162.2"
