"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","ERROR","2024-11-21T11:48:18.035+08:00[Asia/Shanghai]","0.0","216.01"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-11-21T11:51:55.529+08:00[Asia/Shanghai]","0.0","56.84"
"Batch posting","Batch posting voiding process","ERROR","2024-11-21T11:52:53.69+08:00[Asia/Shanghai]","0.0","95.01"
"Batch posting","Batch posting general ledger entry","ERROR","2024-11-21T11:54:29.806+08:00[Asia/Shanghai]","0.0","109.43"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-11-21T11:56:20.548+08:00[Asia/Shanghai]","0.0","219.35"
"General ledger entries","Create general ledger entry","ERROR","2024-11-21T12:00:01.035+08:00[Asia/Shanghai]","0.0","134.62"
"Inquiry and reports","Order inquiry and update","ERROR","2024-11-21T12:02:18.599+08:00[Asia/Shanghai]","0.0","68.62"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-11-21T12:05:20.242+08:00[Asia/Shanghai]","0.0","119.74"
"Salary advance","Create salary advance entry","ERROR","2024-11-21T12:07:21.072+08:00[Asia/Shanghai]","0.0","95.57"
"Working advance","Create working advance entry","ERROR","2024-11-21T12:08:57.914+08:00[Asia/Shanghai]","0.0","80.79"
