"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-11-22T08:12:37.107+08:00[Asia/Shanghai]","0.0","54.67"
"Manage bank account","Edit a bank account","FAILURE","2024-11-22T08:13:33.095+08:00[Asia/Shanghai]","0.0","56.26"
"Manage bank account","Search a bank account","FAILURE","2024-11-22T08:14:30.334+08:00[Asia/Shanghai]","0.0","53.36"
"Manage bank account","Activate a bank account","FAILURE","2024-11-22T08:15:24.707+08:00[Asia/Shanghai]","0.0","53.43"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-11-22T08:16:19.123+08:00[Asia/Shanghai]","0.0","51.79"
"Payments","Manual payment with multiple documents","ERROR","2024-11-22T08:20:59.541+08:00[Asia/Shanghai]","0.0","254.84"
"Payments","Application of prepayment full","ERROR","2024-11-22T08:25:15.358+08:00[Asia/Shanghai]","0.0","137.25"
"Payments","Manual payment with negative amount","ERROR","2024-11-22T08:27:33.857+08:00[Asia/Shanghai]","0.0","254.66"
"Payments","Manual payment with zero payments","FAILURE","2024-11-22T08:31:49.616+08:00[Asia/Shanghai]","0.0","425.67"
"Payments","Application of prepayment partial","ERROR","2024-11-22T08:42:58.611+08:00[Asia/Shanghai]","0.0","96.65"
"Pre registration","Pre logging multi docs","ERROR","2024-11-22T08:47:40.611+08:00[Asia/Shanghai]","0.0","161.63"
"Redistribution","Voucher match with tolerance","ERROR","2024-11-22T09:01:31.574+08:00[Asia/Shanghai]","0.0","130.93"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-11-22T09:03:44.155+08:00[Asia/Shanghai]","0.0","236.19"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-11-22T09:07:41.355+08:00[Asia/Shanghai]","0.0","266.25"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-11-22T09:12:08.578+08:00[Asia/Shanghai]","0.0","168.61"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2024-11-22T09:14:58.134+08:00[Asia/Shanghai]","0.0","70.34"
"Review AP entries","Create voucher entry and edit","ERROR","2024-11-22T09:16:09.499+08:00[Asia/Shanghai]","0.0","172.22"
"Review AP entries","Edit AP entries","ERROR","2024-11-22T09:19:02.722+08:00[Asia/Shanghai]","0.0","165.81"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-11-22T09:25:17.318+08:00[Asia/Shanghai]","0.0","122.94"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-11-22T09:27:21.223+08:00[Asia/Shanghai]","0.0","150.23"
"Review AP entries","Print payment form","FAILURE","2024-11-22T09:29:52.554+08:00[Asia/Shanghai]","0.0","88.8"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-11-22T09:31:22.315+08:00[Asia/Shanghai]","0.0","226.05"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-11-22T09:43:35.906+08:00[Asia/Shanghai]","0.0","168.96"
"Supplier creation","View a supplier","FAILURE","2024-11-22T09:46:29.711+08:00[Asia/Shanghai]","0.0","55.3"
"Supplier creation","Edit a supplier","FAILURE","2024-11-22T09:47:26.007+08:00[Asia/Shanghai]","0.0","48.39"
"Supplier creation","Payment terms update","FAILURE","2024-11-22T09:48:15.377+08:00[Asia/Shanghai]","0.0","52.9"
"Supplier creation","Search a supplier","FAILURE","2024-11-22T09:49:09.284+08:00[Asia/Shanghai]","0.0","39.78"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-11-22T09:49:50.181+08:00[Asia/Shanghai]","0.0","57.24"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-11-22T09:50:48.464+08:00[Asia/Shanghai]","0.0","87.29"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-11-22T09:54:32.207+08:00[Asia/Shanghai]","0.0","65.0"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-11-22T09:55:38.217+08:00[Asia/Shanghai]","0.0","63.92"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-11-22T09:56:43.137+08:00[Asia/Shanghai]","0.0","65.54"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-11-22T09:57:49.616+08:00[Asia/Shanghai]","0.0","66.03"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2024-11-22T09:58:56.65+08:00[Asia/Shanghai]","0.0","58.62"
"Voucher entries","Release retention full","FAILURE","2024-11-22T09:59:56.64+08:00[Asia/Shanghai]","0.0","67.92"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-11-22T10:03:34.554+08:00[Asia/Shanghai]","0.0","71.22"
"Voucher entries","Search and post PV","ERROR","2024-11-22T10:11:45.227+08:00[Asia/Shanghai]","0.0","64.23"
"Voucher entries","Voucher match with tax","ERROR","2024-11-22T10:15:57.963+08:00[Asia/Shanghai]","0.0","69.6"
"Voucher entries","Partial voucher match","ERROR","2024-11-22T10:17:08.58+08:00[Asia/Shanghai]","0.0","59.96"
