"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-11-22T08:11:23.518+08:00[Asia/Shanghai]","0.0","64.36"
"Manage bank account","Add a bank account","FAILURE","2024-11-22T08:12:37.107+08:00[Asia/Shanghai]","0.0","54.67"
"Manage bank account","Edit a bank account","FAILURE","2024-11-22T08:13:33.095+08:00[Asia/Shanghai]","0.0","56.26"
"Manage bank account","Search a bank account","FAILURE","2024-11-22T08:14:30.334+08:00[Asia/Shanghai]","0.0","53.36"
"Manage bank account","Activate a bank account","FAILURE","2024-11-22T08:15:24.707+08:00[Asia/Shanghai]","0.0","53.43"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-11-22T08:16:19.123+08:00[Asia/Shanghai]","0.0","51.79"
"Payments","Manual payment partial","SUCCESS","2024-11-22T08:17:12.653+08:00[Asia/Shanghai]","0.0","225.89"
"Payments","Manual payment with multiple documents","ERROR","2024-11-22T08:20:59.541+08:00[Asia/Shanghai]","0.0","254.84"
"Payments","Application of prepayment full","ERROR","2024-11-22T08:25:15.358+08:00[Asia/Shanghai]","0.0","137.25"
"Payments","Manual payment with negative amount","ERROR","2024-11-22T08:27:33.857+08:00[Asia/Shanghai]","0.0","254.66"
"Payments","Manual payment with zero payments","FAILURE","2024-11-22T08:31:49.616+08:00[Asia/Shanghai]","0.0","425.67"
"Payments","Manual payment full","SUCCESS","2024-11-22T08:38:56.299+08:00[Asia/Shanghai]","0.0","241.27"
"Payments","Application of prepayment partial","ERROR","2024-11-22T08:42:58.611+08:00[Asia/Shanghai]","0.0","96.65"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-11-22T08:44:39.671+08:00[Asia/Shanghai]","0.0","179.97"
"Pre registration","Pre logging multi docs","ERROR","2024-11-22T08:47:40.611+08:00[Asia/Shanghai]","0.0","161.63"
"Pre registration","Pre logging","SUCCESS","2024-11-22T08:50:23.22+08:00[Asia/Shanghai]","0.0","108.48"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-11-22T08:52:12.709+08:00[Asia/Shanghai]","0.0","113.61"
"Pre registration","Pre logging simple","SUCCESS","2024-11-22T08:54:07.244+08:00[Asia/Shanghai]","0.0","76.87"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-11-22T08:55:25.149+08:00[Asia/Shanghai]","0.0","113.95"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2024-11-22T08:57:21.301+08:00[Asia/Shanghai]","0.0","119.16"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-11-22T08:59:21.448+08:00[Asia/Shanghai]","0.0","129.23"
"Redistribution","Voucher match with tolerance","ERROR","2024-11-22T09:01:31.574+08:00[Asia/Shanghai]","0.0","130.93"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-11-22T09:03:44.155+08:00[Asia/Shanghai]","0.0","236.19"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-11-22T09:07:41.355+08:00[Asia/Shanghai]","0.0","266.25"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-11-22T09:12:08.578+08:00[Asia/Shanghai]","0.0","168.61"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2024-11-22T09:14:58.134+08:00[Asia/Shanghai]","0.0","70.34"
"Review AP entries","Create voucher entry and edit","ERROR","2024-11-22T09:16:09.499+08:00[Asia/Shanghai]","0.0","172.22"
"Review AP entries","Edit AP entries","ERROR","2024-11-22T09:19:02.722+08:00[Asia/Shanghai]","0.0","165.81"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-11-22T09:21:49.507+08:00[Asia/Shanghai]","0.0","155.89"
"Review AP entries","Search payment","SUCCESS","2024-11-22T09:24:26.367+08:00[Asia/Shanghai]","0.0","49.97"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-11-22T09:25:17.318+08:00[Asia/Shanghai]","0.0","122.94"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-11-22T09:27:21.223+08:00[Asia/Shanghai]","0.0","150.23"
"Review AP entries","Print payment form","FAILURE","2024-11-22T09:29:52.554+08:00[Asia/Shanghai]","0.0","88.8"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-11-22T09:31:22.315+08:00[Asia/Shanghai]","0.0","226.05"
"Review AP entries","Payment information","SUCCESS","2024-11-22T09:35:09.292+08:00[Asia/Shanghai]","0.0","105.66"
