"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-11-26T08:54:50.888+08:00[Asia/Shanghai]","0.0","214.55"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-11-26T08:58:26.38+08:00[Asia/Shanghai]","0.0","271.48"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-11-26T09:02:58.815+08:00[Asia/Shanghai]","0.0","155.8"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2024-11-26T09:05:35.543+08:00[Asia/Shanghai]","0.0","62.85"
"Review AP entries","Create voucher entry and edit","ERROR","2024-11-26T09:06:39.499+08:00[Asia/Shanghai]","0.0","150.06"
"Review AP entries","Edit AP entries","ERROR","2024-11-26T09:09:10.593+08:00[Asia/Shanghai]","0.0","151.47"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-11-26T09:14:46.5+08:00[Asia/Shanghai]","0.0","106.63"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-11-26T09:16:34.104+08:00[Asia/Shanghai]","0.0","129.05"
"Review AP entries","Print payment form","FAILURE","2024-11-26T09:18:44.159+08:00[Asia/Shanghai]","0.0","73.89"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-11-26T09:19:59.012+08:00[Asia/Shanghai]","0.0","200.12"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-11-26T09:27:21.648+08:00[Asia/Shanghai]","0.0","149.9"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-11-26T09:29:52.508+08:00[Asia/Shanghai]","0.0","150.16"
