"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-05-30T11:49:13.634+08:00[Asia/Shanghai]","0.0","35.42"
"Supplier creation","Search a supplier","FAILURE","2023-05-30T13:31:47.841+08:00[Asia/Shanghai]","0.0","48.59"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-05-30T13:32:37.107+08:00[Asia/Shanghai]","0.0","44.94"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-05-30T13:36:17.488+08:00[Asia/Shanghai]","0.0","58.83"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-05-30T13:37:16.985+08:00[Asia/Shanghai]","0.0","52.74"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-05-30T13:38:10.387+08:00[Asia/Shanghai]","0.0","57.12"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-05-30T13:39:08.178+08:00[Asia/Shanghai]","0.0","59.46"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-05-30T13:40:08.293+08:00[Asia/Shanghai]","0.0","52.66"
"Voucher entries","Release retention full","FAILURE","2023-05-30T13:41:02.353+08:00[Asia/Shanghai]","0.0","54.23"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-05-30T14:55:13.186+08:00[Asia/Shanghai]","0.0","72.61"
