"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","ERROR","2023-05-31T18:40:40.09+08:00[Asia/Shanghai]","0.0","171.28"
"Manage bank account","Edit a bank account","ERROR","2023-05-31T18:43:32.124+08:00[Asia/Shanghai]","0.0","170.18"
"Manage bank account","Search a bank account","FAILURE","2023-05-31T18:46:22.96+08:00[Asia/Shanghai]","0.0","42.23"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-05-31T18:47:53.388+08:00[Asia/Shanghai]","0.0","168.23"
"Payments","Manual payment partial","ERROR","2023-05-31T18:50:44.005+08:00[Asia/Shanghai]","0.0","237.83"
"Payments","Manual payment with multiple documents","ERROR","2023-05-31T18:54:42.507+08:00[Asia/Shanghai]","0.0","249.26"
"Payments","Application of prepayment full","ERROR","2023-05-31T18:58:52.427+08:00[Asia/Shanghai]","0.0","211.9"
"Payments","Manual payment with negative amount","ERROR","2023-05-31T19:02:25.002+08:00[Asia/Shanghai]","0.0","235.0"
"Payments","Manual payment with zero payments","ERROR","2023-05-31T19:06:20.663+08:00[Asia/Shanghai]","0.0","442.35"
"Payments","Manual payment full","ERROR","2023-05-31T19:13:43.69+08:00[Asia/Shanghai]","0.0","242.78"
"Payments","Application of prepayment partial","ERROR","2023-05-31T19:17:47.119+08:00[Asia/Shanghai]","0.0","221.97"
"Redistribution","Voucher match with tolerance","ERROR","2023-05-31T19:36:52.173+08:00[Asia/Shanghai]","0.0","142.21"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-05-31T19:44:03.842+08:00[Asia/Shanghai]","0.0","249.4"
"Review AP entries","Create voucher entry and edit","ERROR","2023-05-31T19:52:53.574+08:00[Asia/Shanghai]","0.0","173.9"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-05-31T20:01:06.352+08:00[Asia/Shanghai]","0.0","88.04"
"Supplier creation","Search a supplier","FAILURE","2023-05-31T20:26:34.597+08:00[Asia/Shanghai]","0.0","45.2"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-05-31T20:27:20.474+08:00[Asia/Shanghai]","0.0","37.78"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-05-31T20:30:54.416+08:00[Asia/Shanghai]","0.0","54.7"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-05-31T20:31:49.795+08:00[Asia/Shanghai]","0.0","51.96"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-05-31T20:32:42.414+08:00[Asia/Shanghai]","0.0","58.77"
"Voucher entries","Release retention full","FAILURE","2023-05-31T20:36:09.483+08:00[Asia/Shanghai]","0.0","48.08"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-05-31T20:39:19.628+08:00[Asia/Shanghai]","0.0","54.68"
"Voucher entries","Checking line reference place holder","ERROR","2023-05-31T20:43:18.037+08:00[Asia/Shanghai]","0.0","278.71"
"Voucher entries","Search and post PV","ERROR","2023-05-31T20:47:57.393+08:00[Asia/Shanghai]","0.0","58.37"
"Voucher entries","Voucher match with tax","ERROR","2023-05-31T20:51:38.467+08:00[Asia/Shanghai]","0.0","59.97"
"Voucher entries","Partial voucher match","ERROR","2023-05-31T20:52:39.101+08:00[Asia/Shanghai]","0.0","53.57"
"Voucher entries","Voucher match with retention","ERROR","2023-05-31T20:53:33.331+08:00[Asia/Shanghai]","0.0","55.21"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-05-31T20:54:29.608+08:00[Asia/Shanghai]","0.0","100.56"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-05-31T20:56:10.832+08:00[Asia/Shanghai]","0.0","54.69"
