"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-06-01T14:09:54.947+08:00[Asia/Shanghai]","0.0","131.02"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-06-01T14:13:04.479+08:00[Asia/Shanghai]","0.0","176.29"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-06-01T14:21:35.795+08:00[Asia/Shanghai]","0.0","158.26"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-06-01T14:30:33.092+08:00[Asia/Shanghai]","0.0","294.57"
"Voucher entries","Simple prepayment","SUCCESS","2023-06-01T14:36:22.464+08:00[Asia/Shanghai]","0.0","67.99"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-06-01T14:45:23.446+08:00[Asia/Shanghai]","0.0","384.36"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-06-01T14:58:40.603+08:00[Asia/Shanghai]","0.0","149.27"
"Voucher entries","Creating voucher entry","SUCCESS","2023-06-01T15:06:05.849+08:00[Asia/Shanghai]","0.0","115.62"
"Voucher entries","Release retention adding a line","SUCCESS","2023-06-01T15:08:02.119+08:00[Asia/Shanghai]","0.0","189.22"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-06-01T15:12:06.147+08:00[Asia/Shanghai]","0.0","129.24"
