"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-06-27T15:32:10.614+08:00[Asia/Shanghai]","0.0","47.48"
"Manage bank account","Activate a bank account","SUCCESS","2023-06-27T15:39:20.589+08:00[Asia/Shanghai]","0.0","46.29"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-06-27T15:59:09.913+08:00[Asia/Shanghai]","0.0","184.9"
"Pre registration","Pre logging multi docs","SUCCESS","2023-06-27T16:02:15.478+08:00[Asia/Shanghai]","0.0","198.85"
"Pre registration","Pre logging","SUCCESS","2023-06-27T16:05:34.983+08:00[Asia/Shanghai]","0.0","95.91"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-06-27T16:07:11.555+08:00[Asia/Shanghai]","0.0","104.83"
"Pre registration","Pre logging simple","SUCCESS","2023-06-27T16:08:57.056+08:00[Asia/Shanghai]","0.0","63.67"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-06-27T16:10:01.402+08:00[Asia/Shanghai]","0.0","104.26"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-06-27T16:11:48.867+08:00[Asia/Shanghai]","0.0","116.14"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-06-27T16:13:45.681+08:00[Asia/Shanghai]","0.0","106.66"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-06-27T16:16:45.989+08:00[Asia/Shanghai]","0.0","285.9"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-06-27T16:25:40.428+08:00[Asia/Shanghai]","0.0","147.62"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-06-27T16:28:08.709+08:00[Asia/Shanghai]","0.0","119.73"
"Review AP entries","Edit AP entries","SUCCESS","2023-06-27T16:33:01.734+08:00[Asia/Shanghai]","0.0","154.46"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-06-27T16:35:36.844+08:00[Asia/Shanghai]","0.0","138.81"
"Review AP entries","Search payment","SUCCESS","2023-06-27T16:37:56.312+08:00[Asia/Shanghai]","0.0","34.98"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-06-27T16:39:58.921+08:00[Asia/Shanghai]","0.0","233.33"
"Review AP entries","Print payment form","SUCCESS","2023-06-27T16:43:52.903+08:00[Asia/Shanghai]","0.0","72.05"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-06-27T16:45:05.589+08:00[Asia/Shanghai]","0.0","212.67"
