"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","ERROR","2023-06-29T11:50:03.442+08:00[Asia/Shanghai]","0.0","164.84"
"Manage bank account","Edit a bank account","ERROR","2023-06-29T11:52:49.043+08:00[Asia/Shanghai]","0.0","164.05"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-06-29T11:56:48.614+08:00[Asia/Shanghai]","0.0","163.7"
"Payments","Manual payment with multiple documents","ERROR","2023-06-29T12:03:58.628+08:00[Asia/Shanghai]","0.0","256.57"
"Payments","Application of prepayment full","FAILURE","2023-06-29T12:08:15.845+08:00[Asia/Shanghai]","0.0","66.44"
"Payments","Application of prepayment partial","FAILURE","2023-06-29T12:23:53.048+08:00[Asia/Shanghai]","0.0","68.64"
"Redistribution","Voucher match with tolerance","ERROR","2023-06-29T12:39:44.012+08:00[Asia/Shanghai]","0.0","101.78"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2023-06-29T13:02:51.558+08:00[Asia/Shanghai]","0.0","162.08"
"Supplier creation","View a supplier","FAILURE","2023-06-29T13:24:39.246+08:00[Asia/Shanghai]","0.0","49.19"
"Supplier creation","Search a supplier","FAILURE","2023-06-29T13:29:29.858+08:00[Asia/Shanghai]","0.0","41.63"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-06-29T13:30:12.148+08:00[Asia/Shanghai]","0.0","44.8"
"Unbilled PO receipts","Close unbilled PO receipt","FAILURE","2023-06-29T13:32:19.942+08:00[Asia/Shanghai]","0.0","52.53"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-06-29T13:33:13.145+08:00[Asia/Shanghai]","0.0","64.66"
"Voucher entries","Release retention full","FAILURE","2023-06-29T13:39:02.361+08:00[Asia/Shanghai]","0.0","50.31"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-06-29T13:42:10.444+08:00[Asia/Shanghai]","0.0","54.85"
"Voucher entries","Search and post PV","ERROR","2023-06-29T13:49:28.889+08:00[Asia/Shanghai]","0.0","54.29"
"Voucher entries","Voucher match with tax","ERROR","2023-06-29T13:53:19.956+08:00[Asia/Shanghai]","0.0","61.01"
"Voucher entries","Partial voucher match","ERROR","2023-06-29T13:54:21.627+08:00[Asia/Shanghai]","0.0","53.12"
"Voucher entries","Voucher match with retention","ERROR","2023-06-29T13:55:15.404+08:00[Asia/Shanghai]","0.0","53.14"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-06-29T13:56:09.591+08:00[Asia/Shanghai]","0.0","113.11"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-06-29T13:58:03.37+08:00[Asia/Shanghai]","0.0","52.6"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-06-29T13:58:56.614+08:00[Asia/Shanghai]","0.0","49.31"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-06-29T14:05:01.986+08:00[Asia/Shanghai]","0.0","54.65"
"Voucher entries","Simple prepayment","FAILURE","2023-06-29T14:05:57.293+08:00[Asia/Shanghai]","0.0","70.53"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-06-29T14:10:23.072+08:00[Asia/Shanghai]","0.0","49.43"
"Voucher entries","Partial voucher match with retention","ERROR","2023-06-29T14:11:13.172+08:00[Asia/Shanghai]","0.0","157.87"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-06-29T14:13:51.709+08:00[Asia/Shanghai]","0.0","53.37"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-06-29T14:21:17.749+08:00[Asia/Shanghai]","0.0","56.05"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-06-29T14:25:17.454+08:00[Asia/Shanghai]","0.0","53.41"
"Voucher entries","Simple voucher match","ERROR","2023-06-29T14:26:11.527+08:00[Asia/Shanghai]","0.0","54.84"
"Voucher entries","Release retention partial","ERROR","2023-06-29T14:27:07.03+08:00[Asia/Shanghai]","0.0","128.39"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-06-29T14:29:16.104+08:00[Asia/Shanghai]","0.0","61.99"
"Voucher entries","Voucher matching","ERROR","2023-06-29T14:32:53.308+08:00[Asia/Shanghai]","0.0","60.13"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-06-29T14:33:54.103+08:00[Asia/Shanghai]","0.0","165.06"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-06-29T14:41:59.895+08:00[Asia/Shanghai]","0.0","49.55"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-06-29T14:45:01.576+08:00[Asia/Shanghai]","0.0","50.61"
