"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-06-29T12:41:27.393+08:00[Asia/Shanghai]","0.0","278.95"
"Review AP entries","Create manual payment and delete unposted payment","SUCCESS","2023-06-29T12:46:07.012+08:00[Asia/Shanghai]","0.0","265.5"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-06-29T12:50:33.175+08:00[Asia/Shanghai]","0.0","152.35"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-06-29T12:53:06.207+08:00[Asia/Shanghai]","0.0","113.48"
"Review AP entries","Create voucher entry and edit","SUCCESS","2023-06-29T12:55:00.331+08:00[Asia/Shanghai]","0.0","151.87"
"Review AP entries","Edit AP entries","SUCCESS","2023-06-29T12:57:32.86+08:00[Asia/Shanghai]","0.0","138.4"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-06-29T12:59:51.932+08:00[Asia/Shanghai]","0.0","139.65"
"Review AP entries","Search payment","SUCCESS","2023-06-29T13:02:12.248+08:00[Asia/Shanghai]","0.0","38.66"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-06-29T13:05:34.287+08:00[Asia/Shanghai]","0.0","231.96"
"Review AP entries","Print payment form","SUCCESS","2023-06-29T13:09:26.901+08:00[Asia/Shanghai]","0.0","72.76"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-06-29T13:10:40.337+08:00[Asia/Shanghai]","0.0","213.39"
"Review AP entries","Payment information","SUCCESS","2023-06-29T13:14:14.406+08:00[Asia/Shanghai]","0.0","73.64"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-06-29T13:15:28.695+08:00[Asia/Shanghai]","0.0","131.85"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-06-29T13:17:41.205+08:00[Asia/Shanghai]","0.0","216.08"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-06-29T13:21:17.942+08:00[Asia/Shanghai]","0.0","190.25"
