"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","ERROR","2023-06-06T13:34:12.862+08:00[Asia/Shanghai]","0.0","186.81"
"Manage bank account","Edit a bank account","ERROR","2023-06-06T13:37:20.546+08:00[Asia/Shanghai]","0.0","169.07"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-06-06T13:41:35.054+08:00[Asia/Shanghai]","0.0","173.98"
"Payments","Manual payment partial","ERROR","2023-06-06T13:44:32.123+08:00[Asia/Shanghai]","0.0","258.28"
"Payments","Manual payment with multiple documents","ERROR","2023-06-06T13:48:51.112+08:00[Asia/Shanghai]","0.0","264.61"
"Payments","Application of prepayment full","ERROR","2023-06-06T13:53:16.427+08:00[Asia/Shanghai]","0.0","232.71"
"Payments","Manual payment with negative amount","ERROR","2023-06-06T13:57:09.829+08:00[Asia/Shanghai]","0.0","242.13"
"Payments","Manual payment with zero payments","ERROR","2023-06-06T14:01:12.651+08:00[Asia/Shanghai]","0.0","531.04"
"Payments","Manual payment full","ERROR","2023-06-06T14:10:04.378+08:00[Asia/Shanghai]","0.0","256.14"
"Payments","Application of prepayment partial","ERROR","2023-06-06T14:14:21.216+08:00[Asia/Shanghai]","0.0","228.9"
"Redistribution","Voucher match with tolerance","ERROR","2023-06-06T14:35:00.162+08:00[Asia/Shanghai]","0.0","74.51"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-06-06T14:41:05.986+08:00[Asia/Shanghai]","0.0","251.79"
"Review AP entries","Create voucher entry and edit","ERROR","2023-06-06T14:49:57.136+08:00[Asia/Shanghai]","0.0","174.56"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-06-06T14:58:18.033+08:00[Asia/Shanghai]","0.0","87.05"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-06-06T15:36:32.504+08:00[Asia/Shanghai]","0.0","53.32"
"Voucher entries","Search and post PV","ERROR","2023-06-06T15:43:55.721+08:00[Asia/Shanghai]","0.0","51.49"
"Voucher entries","Voucher match with tax","ERROR","2023-06-06T15:47:32.528+08:00[Asia/Shanghai]","0.0","53.73"
"Voucher entries","Partial voucher match","ERROR","2023-06-06T15:48:26.918+08:00[Asia/Shanghai]","0.0","55.88"
"Voucher entries","Voucher match with retention","ERROR","2023-06-06T15:49:23.475+08:00[Asia/Shanghai]","0.0","53.26"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-06-06T15:50:17.778+08:00[Asia/Shanghai]","0.0","110.01"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-06-06T15:52:08.423+08:00[Asia/Shanghai]","0.0","54.18"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-06-06T15:53:03.27+08:00[Asia/Shanghai]","0.0","54.17"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-06-06T15:59:11.452+08:00[Asia/Shanghai]","0.0","54.67"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-06-06T16:01:21.392+08:00[Asia/Shanghai]","0.0","296.2"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-06-06T16:06:18.252+08:00[Asia/Shanghai]","0.0","52.72"
"Voucher entries","Partial voucher match with retention","ERROR","2023-06-06T16:07:11.643+08:00[Asia/Shanghai]","0.0","94.82"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-06-06T16:08:47.138+08:00[Asia/Shanghai]","0.0","52.72"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-06-06T16:16:18.469+08:00[Asia/Shanghai]","0.0","55.27"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-06-06T16:17:14.41+08:00[Asia/Shanghai]","0.0","91.93"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-06-06T16:18:47.014+08:00[Asia/Shanghai]","0.0","54.2"
"Voucher entries","Simple voucher match","ERROR","2023-06-06T16:19:41.873+08:00[Asia/Shanghai]","0.0","55.15"
"Voucher entries","Release retention partial","ERROR","2023-06-06T16:20:37.666+08:00[Asia/Shanghai]","0.0","127.93"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-06-06T16:22:46.276+08:00[Asia/Shanghai]","0.0","44.18"
"Voucher entries","Voucher matching","ERROR","2023-06-06T16:26:06.554+08:00[Asia/Shanghai]","0.0","54.12"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-06-06T16:27:01.379+08:00[Asia/Shanghai]","0.0","245.6"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-06-06T16:36:22.475+08:00[Asia/Shanghai]","0.0","44.02"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-06-06T16:39:28.488+08:00[Asia/Shanghai]","0.0","52.8"
"Inquiry and reports","Order inquiry and update","ERROR","2023-06-06T16:49:49.352+08:00[Asia/Shanghai]","0.0","170.99"
