"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Activate a bank account","SUCCESS","2023-06-06T13:40:50.18+08:00[Asia/Shanghai]","0.0","44.16"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-06-06T14:18:18.476+08:00[Asia/Shanghai]","0.0","180.21"
"Pre registration","Pre logging multi docs","SUCCESS","2023-06-06T14:21:19.392+08:00[Asia/Shanghai]","0.0","213.3"
"Pre registration","Pre logging","SUCCESS","2023-06-06T14:24:53.385+08:00[Asia/Shanghai]","0.0","104.73"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-06-06T14:26:38.837+08:00[Asia/Shanghai]","0.0","109.87"
"Pre registration","Pre logging simple","SUCCESS","2023-06-06T14:28:29.408+08:00[Asia/Shanghai]","0.0","61.79"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-06-06T14:29:31.902+08:00[Asia/Shanghai]","0.0","104.59"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-06-06T14:31:19.254+08:00[Asia/Shanghai]","0.0","105.92"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-06-06T14:33:05.848+08:00[Asia/Shanghai]","0.0","113.64"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-06-06T14:36:16.189+08:00[Asia/Shanghai]","0.0","289.12"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-06-06T14:45:18.438+08:00[Asia/Shanghai]","0.0","155.06"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-06-06T14:47:54.169+08:00[Asia/Shanghai]","0.0","122.31"
"Review AP entries","Edit AP entries","SUCCESS","2023-06-06T14:52:52.369+08:00[Asia/Shanghai]","0.0","148.0"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-06-06T14:55:21.028+08:00[Asia/Shanghai]","0.0","141.98"
"Review AP entries","Search payment","SUCCESS","2023-06-06T14:57:43.666+08:00[Asia/Shanghai]","0.0","33.69"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-06-06T14:59:45.755+08:00[Asia/Shanghai]","0.0","241.66"
"Review AP entries","Print payment form","SUCCESS","2023-06-06T15:03:48.079+08:00[Asia/Shanghai]","0.0","66.65"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-06-06T15:04:55.398+08:00[Asia/Shanghai]","0.0","225.5"
"Review AP entries","Payment information","SUCCESS","2023-06-06T15:08:41.556+08:00[Asia/Shanghai]","0.0","91.44"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-06-06T15:10:13.649+08:00[Asia/Shanghai]","0.0","141.88"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-06-06T15:12:36.195+08:00[Asia/Shanghai]","0.0","228.41"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-06-06T15:16:25.277+08:00[Asia/Shanghai]","0.0","173.15"
"Supplier creation","View a supplier","SUCCESS","2023-06-06T15:19:27.707+08:00[Asia/Shanghai]","0.0","53.97"
"Supplier creation","Edit a supplier","SUCCESS","2023-06-06T15:20:22.745+08:00[Asia/Shanghai]","0.0","107.93"
"Supplier creation","Payment terms update","SUCCESS","2023-06-06T15:22:11.727+08:00[Asia/Shanghai]","0.0","118.73"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-06-06T15:25:46.864+08:00[Asia/Shanghai]","0.0","86.25"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-06-06T15:27:14.677+08:00[Asia/Shanghai]","0.0","90.03"
"Unbilled PO receipts","Matching receipt validate","SUCCESS","2023-06-06T15:31:34.5+08:00[Asia/Shanghai]","0.0","55.93"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-06-06T15:34:07.769+08:00[Asia/Shanghai]","0.0","144.08"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-06-06T15:37:26.495+08:00[Asia/Shanghai]","0.0","183.36"
"Voucher entries","Checking line reference place holder","SUCCESS","2023-06-06T15:40:30.52+08:00[Asia/Shanghai]","0.0","204.53"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-06-06T15:44:47.875+08:00[Asia/Shanghai]","0.0","163.99"
"Voucher entries","Voucher entry multi docs","SUCCESS","2023-06-06T15:53:58.099+08:00[Asia/Shanghai]","0.0","312.7"
"Voucher entries","Simple prepayment","SUCCESS","2023-06-06T16:00:06.78+08:00[Asia/Shanghai]","0.0","73.96"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-06-06T16:09:40.523+08:00[Asia/Shanghai]","0.0","397.28"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2023-06-06T16:23:31.117+08:00[Asia/Shanghai]","0.0","154.78"
"Voucher entries","Creating voucher entry","SUCCESS","2023-06-06T16:31:07.636+08:00[Asia/Shanghai]","0.0","119.84"
"Voucher entries","Release retention adding a line","SUCCESS","2023-06-06T16:33:08.139+08:00[Asia/Shanghai]","0.0","193.67"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-06-06T16:37:07.161+08:00[Asia/Shanghai]","0.0","140.67"
