"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-09-03T12:40:29.14+08:00[Asia/Shanghai]","0.0","90.63"
"Manage bank account","Add a bank account","FAILURE","2024-09-03T12:42:09.024+08:00[Asia/Shanghai]","0.0","47.12"
"Manage bank account","Edit a bank account","ERROR","2024-09-03T12:42:57.791+08:00[Asia/Shanghai]","0.0","37.43"
"Manage bank account","Search a bank account","FAILURE","2024-09-03T12:43:36.261+08:00[Asia/Shanghai]","0.0","48.5"
"Manage bank account","Activate a bank account","FAILURE","2024-09-03T12:44:25.803+08:00[Asia/Shanghai]","0.0","53.1"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-09-03T12:45:19.946+08:00[Asia/Shanghai]","0.0","44.65"
"Payments","Manual payment partial","ERROR","2024-09-03T12:46:06.338+08:00[Asia/Shanghai]","0.0","188.43"
"Payments","Manual payment with multiple documents","ERROR","2024-09-03T12:49:15.775+08:00[Asia/Shanghai]","0.0","271.07"
"Payments","Application of prepayment full","ERROR","2024-09-03T12:53:47.847+08:00[Asia/Shanghai]","0.0","115.98"
"Payments","Manual payment with negative amount","ERROR","2024-09-03T12:55:44.828+08:00[Asia/Shanghai]","0.0","216.02"
"Payments","Manual payment with zero payments","ERROR","2024-09-03T12:59:21.917+08:00[Asia/Shanghai]","0.0","375.82"
"Payments","Manual payment full","ERROR","2024-09-03T13:05:38.757+08:00[Asia/Shanghai]","0.0","229.2"
"Payments","Application of prepayment partial","ERROR","2024-09-03T13:09:28.966+08:00[Asia/Shanghai]","0.0","91.01"
"Pre registration","Pre logging and gl distribution voucher match","ERROR","2024-09-03T13:11:03.599+08:00[Asia/Shanghai]","0.0","159.68"
"Pre registration","Pre logging multi docs","ERROR","2024-09-03T13:13:44.273+08:00[Asia/Shanghai]","0.0","177.19"
"Pre registration","Pre logging","SUCCESS","2024-09-03T13:16:42.476+08:00[Asia/Shanghai]","0.0","105.08"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-09-03T13:18:28.63+08:00[Asia/Shanghai]","0.0","130.54"
"Pre registration","Pre logging simple","SUCCESS","2024-09-03T13:20:40.154+08:00[Asia/Shanghai]","0.0","68.39"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-09-03T13:21:49.554+08:00[Asia/Shanghai]","0.0","107.1"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-09-03T13:23:38.312+08:00[Asia/Shanghai]","0.0","49.72"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-09-03T13:24:29.016+08:00[Asia/Shanghai]","0.0","128.61"
"Redistribution","Voucher match with tolerance","ERROR","2024-09-03T13:26:38.559+08:00[Asia/Shanghai]","0.0","79.81"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-09-03T13:27:59.893+08:00[Asia/Shanghai]","0.0","234.52"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-09-03T13:31:55.45+08:00[Asia/Shanghai]","0.0","216.3"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-09-03T13:35:32.718+08:00[Asia/Shanghai]","0.0","165.19"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-09-03T13:38:18.869+08:00[Asia/Shanghai]","0.0","146.65"
"Review AP entries","Create voucher entry and edit","ERROR","2024-09-03T13:40:46.488+08:00[Asia/Shanghai]","0.0","157.55"
"Review AP entries","Edit AP entries","ERROR","2024-09-03T13:43:25.05+08:00[Asia/Shanghai]","0.0","170.85"
"Review AP entries","Review voucher AP entries","SUCCESS","2024-09-03T13:46:16.861+08:00[Asia/Shanghai]","0.0","155.86"
"Review AP entries","Search payment","SUCCESS","2024-09-03T13:48:53.713+08:00[Asia/Shanghai]","0.0","38.54"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-09-03T13:49:33.267+08:00[Asia/Shanghai]","0.0","158.58"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-09-03T13:52:12.852+08:00[Asia/Shanghai]","0.0","143.77"
"Review AP entries","Print payment form","SUCCESS","2024-09-03T13:54:37.641+08:00[Asia/Shanghai]","0.0","90.23"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-09-03T13:56:08.886+08:00[Asia/Shanghai]","0.0","226.52"
