"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-03-19T14:05:05.242+08:00[Asia/Shanghai]","0.0","53.67"
"Voucher entries","Search and post PV","ERROR","2024-03-19T14:12:03.909+08:00[Asia/Shanghai]","0.0","51.56"
"Voucher entries","Voucher match with tax","ERROR","2024-03-19T14:15:32.223+08:00[Asia/Shanghai]","0.0","51.64"
"Voucher entries","Partial voucher match","ERROR","2024-03-19T14:16:24.572+08:00[Asia/Shanghai]","0.0","66.26"
"Voucher entries","Voucher match with retention","ERROR","2024-03-19T14:17:31.531+08:00[Asia/Shanghai]","0.0","54.62"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-03-19T14:18:26.846+08:00[Asia/Shanghai]","0.0","106.62"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-03-19T14:20:14.201+08:00[Asia/Shanghai]","0.0","56.16"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-03-19T14:21:11.056+08:00[Asia/Shanghai]","0.0","54.09"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-03-19T14:26:53.058+08:00[Asia/Shanghai]","0.0","54.11"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-03-19T14:28:51.476+08:00[Asia/Shanghai]","0.0","229.94"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-03-19T14:32:42.127+08:00[Asia/Shanghai]","0.0","57.71"
"Voucher entries","Partial voucher match with retention","ERROR","2024-03-19T14:33:40.534+08:00[Asia/Shanghai]","0.0","53.76"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-03-19T14:34:35.029+08:00[Asia/Shanghai]","0.0","54.14"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-03-19T14:35:29.875+08:00[Asia/Shanghai]","0.0","230.96"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-03-19T14:39:21.544+08:00[Asia/Shanghai]","0.0","50.31"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-03-19T14:40:12.56+08:00[Asia/Shanghai]","0.0","71.91"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-03-19T14:41:25.166+08:00[Asia/Shanghai]","0.0","59.2"
"Voucher entries","Simple voucher match","ERROR","2024-03-19T14:42:25.052+08:00[Asia/Shanghai]","0.0","54.51"
"Voucher entries","Release retention partial","ERROR","2024-03-19T14:43:20.253+08:00[Asia/Shanghai]","0.0","128.27"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-03-19T14:45:29.236+08:00[Asia/Shanghai]","0.0","59.74"
"Voucher entries","Voucher matching","ERROR","2024-03-19T14:49:01.069+08:00[Asia/Shanghai]","0.0","54.41"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-03-19T14:57:55.772+08:00[Asia/Shanghai]","0.0","54.59"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-03-19T15:00:59.236+08:00[Asia/Shanghai]","0.0","56.95"
