"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2024-03-19T14:02:52.591+08:00[Asia/Shanghai]","0.0","131.9"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2024-03-19T14:05:59.607+08:00[Asia/Shanghai]","0.0","172.91"
"Voucher entries","Checking line reference place holder","SUCCESS","2024-03-19T14:08:53.204+08:00[Asia/Shanghai]","0.0","189.98"
"Voucher entries","Voucher entry delete a line","SUCCESS","2024-03-19T14:12:56.166+08:00[Asia/Shanghai]","0.0","155.36"
"Voucher entries","Voucher entry multi docs","SUCCESS","2024-03-19T14:22:05.837+08:00[Asia/Shanghai]","0.0","286.52"
"Voucher entries","Simple prepayment","SUCCESS","2024-03-19T14:27:47.857+08:00[Asia/Shanghai]","0.0","62.94"
"Voucher entries","Voucher entry with tax rate rounded","SUCCESS","2024-03-19T14:46:29.681+08:00[Asia/Shanghai]","0.0","150.69"
"Voucher entries","Creating voucher entry","SUCCESS","2024-03-19T14:52:35.943+08:00[Asia/Shanghai]","0.0","132.43"
"Voucher entries","Release retention adding a line","SUCCESS","2024-03-19T14:54:49.087+08:00[Asia/Shanghai]","0.0","185.98"
"Voucher entries","Voucher entry credit memo","SUCCESS","2024-03-19T14:58:51.077+08:00[Asia/Shanghai]","0.0","127.44"
