"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2024-03-19T12:38:56.185+08:00[Asia/Shanghai]","0.0","244.33"
"Payments","Application of prepayment full","ERROR","2024-03-19T12:43:01.211+08:00[Asia/Shanghai]","0.0","105.78"
"Payments","Manual payment with negative amount","ERROR","2024-03-19T12:44:47.674+08:00[Asia/Shanghai]","0.0","217.04"
"Payments","Manual payment with zero payments","ERROR","2024-03-19T12:48:25.42+08:00[Asia/Shanghai]","0.0","238.89"
"Payments","Application of prepayment partial","ERROR","2024-03-19T12:56:02.103+08:00[Asia/Shanghai]","0.0","75.82"
"Pre registration","Pre logging multi docs","ERROR","2024-03-19T12:59:44.914+08:00[Asia/Shanghai]","0.0","133.59"
"Pre registration","Pre logging","ERROR","2024-03-19T13:01:59.206+08:00[Asia/Shanghai]","0.0","96.27"
"Pre registration","Pre logging simple","ERROR","2024-03-19T13:05:23.444+08:00[Asia/Shanghai]","0.0","52.11"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-03-19T13:08:15.448+08:00[Asia/Shanghai]","0.0","49.83"
"Redistribution","Voucher match with tolerance","ERROR","2024-03-19T13:10:48.336+08:00[Asia/Shanghai]","0.0","126.49"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-03-19T13:12:56.192+08:00[Asia/Shanghai]","0.0","208.87"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-03-19T13:16:25.798+08:00[Asia/Shanghai]","0.0","237.74"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-03-19T13:20:24.29+08:00[Asia/Shanghai]","0.0","144.27"
"Review AP entries","Create voucher entry and edit","ERROR","2024-03-19T13:24:42.013+08:00[Asia/Shanghai]","0.0","144.62"
"Review AP entries","Edit AP entries","ERROR","2024-03-19T13:27:07.349+08:00[Asia/Shanghai]","0.0","142.22"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-03-19T13:32:22.695+08:00[Asia/Shanghai]","0.0","103.21"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-03-19T13:37:29.252+08:00[Asia/Shanghai]","0.0","200.67"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-03-19T13:47:43.207+08:00[Asia/Shanghai]","0.0","148.45"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-03-19T14:05:05.242+08:00[Asia/Shanghai]","0.0","53.67"
"Voucher entries","Search and post PV","ERROR","2024-03-19T14:12:03.909+08:00[Asia/Shanghai]","0.0","51.56"
"Voucher entries","Voucher match with tax","ERROR","2024-03-19T14:15:32.223+08:00[Asia/Shanghai]","0.0","51.64"
"Voucher entries","Partial voucher match","ERROR","2024-03-19T14:16:24.572+08:00[Asia/Shanghai]","0.0","66.26"
"Voucher entries","Voucher match with retention","ERROR","2024-03-19T14:17:31.531+08:00[Asia/Shanghai]","0.0","54.62"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-03-19T14:18:26.846+08:00[Asia/Shanghai]","0.0","106.62"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-03-19T14:20:14.201+08:00[Asia/Shanghai]","0.0","56.16"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-03-19T14:21:11.056+08:00[Asia/Shanghai]","0.0","54.09"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-03-19T14:26:53.058+08:00[Asia/Shanghai]","0.0","54.11"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-03-19T14:28:51.476+08:00[Asia/Shanghai]","0.0","229.94"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-03-19T14:32:42.127+08:00[Asia/Shanghai]","0.0","57.71"
"Voucher entries","Partial voucher match with retention","ERROR","2024-03-19T14:33:40.534+08:00[Asia/Shanghai]","0.0","53.76"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-03-19T14:34:35.029+08:00[Asia/Shanghai]","0.0","54.14"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-03-19T14:35:29.875+08:00[Asia/Shanghai]","0.0","230.96"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-03-19T14:39:21.544+08:00[Asia/Shanghai]","0.0","50.31"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-03-19T14:40:12.56+08:00[Asia/Shanghai]","0.0","71.91"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-03-19T14:41:25.166+08:00[Asia/Shanghai]","0.0","59.2"
"Voucher entries","Simple voucher match","ERROR","2024-03-19T14:42:25.052+08:00[Asia/Shanghai]","0.0","54.51"
"Voucher entries","Release retention partial","ERROR","2024-03-19T14:43:20.253+08:00[Asia/Shanghai]","0.0","128.27"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-03-19T14:45:29.236+08:00[Asia/Shanghai]","0.0","59.74"
"Voucher entries","Voucher matching","ERROR","2024-03-19T14:49:01.069+08:00[Asia/Shanghai]","0.0","54.41"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-03-19T14:57:55.772+08:00[Asia/Shanghai]","0.0","54.59"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-03-19T15:00:59.236+08:00[Asia/Shanghai]","0.0","56.95"
