"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-31T19:39:15.986+08:00[Asia/Shanghai]","0.0","287.19"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-31T19:48:13.893+08:00[Asia/Shanghai]","0.0","151.9"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-31T19:50:46.462+08:00[Asia/Shanghai]","0.0","126.44"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-31T19:55:48.131+08:00[Asia/Shanghai]","0.0","142.94"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-31T19:58:11.74+08:00[Asia/Shanghai]","0.0","135.68"
"Review AP entries","Search payment","SUCCESS","2023-05-31T20:00:28.079+08:00[Asia/Shanghai]","0.0","37.62"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-31T20:02:35.067+08:00[Asia/Shanghai]","0.0","231.71"
"Review AP entries","Print payment form","SUCCESS","2023-05-31T20:06:27.449+08:00[Asia/Shanghai]","0.0","78.43"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-31T20:07:46.544+08:00[Asia/Shanghai]","0.0","213.29"
"Review AP entries","Payment information","SUCCESS","2023-05-31T20:11:20.483+08:00[Asia/Shanghai]","0.0","87.63"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-05-31T20:12:48.751+08:00[Asia/Shanghai]","0.0","129.2"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-05-31T20:14:58.606+08:00[Asia/Shanghai]","0.0","225.87"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-05-31T20:18:45.141+08:00[Asia/Shanghai]","0.0","185.05"
